row_label_raw,row_label_full,col_0,2021VND,2020VND(Restated),numeric__2021VND,numeric__2020VND(Restated)
Net profit for the year,Net profit for the year,Net profit for the year,"3,677,252,341,304","4,723,496,860,190",,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,"(148,992,864,643)","(141,231,614,650)",,
Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,"3,528,259,476,661","4,582,265,245,540",,
