row_label_raw,row_label_full,col_0,Code,Note,31/12/2021 VND,1/1/2021 VND,numeric__Code,numeric__Note,numeric__31/12/2021 VND,numeric__1/1/2021 VND
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"22,877,033,322,264","19,513,381,452,440",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,6,"3,606,454,403,209","2,726,137,088,387",110.0,6.0,,
Cash,ASSETS > Cash,Cash,111,,"685,368,712,799","844,203,088,387",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"2,921,085,690,410","1,881,934,000,000",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"16,991,239,000,000","14,547,419,432,877",120.0,,,
Held-to-maturity investments,ASSETS > Held-to-maturity investments,Held-to-maturity investments,123,7(a),"16,991,239,000,000","14,547,419,432,877",123.0,,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"467,956,130,071","590,846,416,109",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,8,"100,965,921,832","69,331,890,605",131.0,8.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"29,859,261,503","164,204,071,490",132.0,,,
Other short-term receivables,ASSETS > Other short-term receivables,Other short-term receivables,136,9(a),"679,386,330,628","699,600,027,317",136.0,,,
Allowance for doubtful short-term debts,ASSETS > Allowance for doubtful short-term debts,Allowance for doubtful short-term debts,137,10(a),"(342,255,383,892)","(342,289,573,303)",137.0,,,
Inventories,ASSETS > Inventories,Inventories,140,11(a),"1,668,001,734,209","1,446,832,994,933",140.0,,,
Inventories,ASSETS > Inventories,Inventories,141,,"1,755,711,816,417","1,525,038,920,678",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(87,710,082,208)","(78,205,925,745)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"143,382,054,775","202,145,520,134",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,12(a),"88,941,911,437","143,821,768,836",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"25,339,672,708","22,192,035,247",152.0,,,
Taxes receivable from State Treasury,ASSETS > Taxes receivable from State Treasury,Taxes receivable from State Treasury,153,20(b),"29,100,470,630","36,131,716,051",153.0,,,
