row_label_raw,row_label_full,col_0,Code Note,2021 VND,2020 VND,numeric__Code Note,numeric__2021 VND,numeric__2020 VND
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,
Accounting profit before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Accounting profit before tax,Accounting profit before tax,01,"4,856,894,249,743","6,111,818,325,965",1.0,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,"557,477,760,126","593,451,595,931",2.0,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,"(63,136,957,901)","(41,308,902,896)",3.0,,
Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,,,
denominated in foreign currencies,Exchange (gains)/losses arising from revaluation of monetary items > denominated in foreign currencies,denominated in foreign currencies,04,"(24,130,427,975)","10,993,808,785",4.0,,
Profits from investing activities,Exchange (gains)/losses arising from revaluation of monetary items > Profits from investing activities,Profits from investing activities,05,"(1,072,403,100,336)","(933,512,405,110)",5.0,,
Shared profits in associates and jointly controlled entities,Exchange (gains)/losses arising from revaluation of monetary items > Shared profits in associates and jointly controlled entities,Shared profits in associates and jointly controlled entities,05,"(172,939,963,562)","(267,405,919,991)",5.0,,
Interest expense,Exchange (gains)/losses arising from revaluation of monetary items > Interest expense,Interest expense,06,"48,739,800,374","63,681,326,473",6.0,,
Reversal of science and technology development fund,Exchange (gains)/losses arising from revaluation of monetary items > Reversal of science and technology development fund,Reversal of science and technology development fund,07,"(73,817,939,085)",-,7.0,,
Operating profit before changes in working capital,Exchange (gains)/losses arising from revaluation of monetary items > Operating profit before changes in working capital,Operating profit before changes in working capital,08,"4,056,683,421,384","5,537,717,829,157",8.0,,
Change in receivables,Exchange (gains)/losses arising from revaluation of monetary items > Change in receivables,Change in receivables,09,"(52,721,845,531)","70,185,855,564",9.0,,
Change in inventories,Exchange (gains)/losses arising from revaluation of monetary items > Change in inventories,Change in inventories,10,"(223,957,039,716)","573,632,990,375",10.0,,
Change in payables and other liabilities,Exchange (gains)/losses arising from revaluation of monetary items > Change in payables and other liabilities,Change in payables and other liabilities,11,"658,279,721,558","(660,694,079,661)",11.0,,
Change in prepaid expenses,Exchange (gains)/losses arising from revaluation of monetary items > Change in prepaid expenses,Change in prepaid expenses,12,"145,399,315,693","(44,422,006,927)",12.0,,
,,,,"4,583,683,573,388","5,476,420,588,508",,,
Interest paid,Exchange (gains)/losses arising from revaluation of monetary items > Interest paid,Interest paid,14,"(35,346,961,903)","(72,029,586,806)",14.0,,
Corporate income tax paid,Exchange (gains)/losses arising from revaluation of monetary items > Corporate income tax paid,Corporate income tax paid,15,"(919,005,428,188)","(1,038,633,850,562)",15.0,,
Other payments for operating activities,Exchange (gains)/losses arising from revaluation of monetary items > Other payments for operating activities,Other payments for operating activities,17,"(111,479,623,915)","(237,145,573,484)",17.0,,
Net cash flows from operating activities,Exchange (gains)/losses arising from revaluation of monetary items > Net cash flows from operating activities,Net cash flows from operating activities,20,"3,517,851,559,382","4,128,611,577,656",20.0,,
