row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá quy đổi tiền tệ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của chủ sở hữu Tổng Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá quy đổi tiền tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của chủ sở hữu Tổng Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,6.412.811.860.000,3.208.666.226,26.865.333.874,1.122.846.170.630,12.374.498.805.733,19.940.230.836.463,1.275.045.554.465,21.215.276.390.928,6412811860000.0,3208666226.0,26865333874.0,1122846170630.0,12374498805733.0,19940230836463.0,1275045554465.0,21215276390928.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.677.252.341.304,3.677.252.341.304,252.053.205.934,3.929.305.547.238,,,,,3677252341304.0,3677252341304.0,252053205934.0,3929305547238.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,(148.992.864.643),(148.992.864.643),(21.378.309.369),(170.371.174.012),,,,,-148992864643.0,-148992864643.0,-21378309369.0,-170371174012.0
"Diểu chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Diểu chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Diểu chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,8.087.366.226,8.087.366.226,608.945.782,8.696.312.008,,,,,8087366226.0,8087366226.0,608945782.0,8696312008.0
Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),-,-,-,-,(2.244.484.151.000),(2.244.484.151.000),(138.226.824.350),(2.382.710.975.350),,,,,-2244484151000.0,-2244484151000.0,-138226824350.0,-2382710975350.0
Chênh lệch tỷ giá quy đổi tiền tệ,Chênh lệch tỷ giá quy đổi tiền tệ,Chênh lệch tỷ giá quy đổi tiền tệ,-,-,473.958.987,-,-,473.958.987,-,473.958.987,,,473958987.0,,,473958987.0,,473958987.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,-,-,(5.058.422.702),(5.058.422.702),(937.933.937),(5.996.356.639),,,,,-5058422702.0,-5058422702.0,-937933937.0,-5996356639.0
Diểu chính quỹ công tác xã hội,Diểu chính quỹ công tác xã hội,Diểu chính quỹ công tác xã hội,-,-,-,-,111.684.257,111.684.257,315.745,112.000.002,,,,,111684257.0,111684257.0,315745.0,112000002.0
Diểu chính khác,Diểu chính khác,Diểu chính khác,-,-,-,(604.797.503),(5.543.616.912),(6.148.414.415),6.148.414.414,(1),,,,-604797503.0,-5543616912.0,-6148414415.0,6148414414.0,-1.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,6.412.811.860.000,3.208.666.226,27.339.292.861,1.122.241.373.127,13.655.871.142.263,21.221.472.334.477,1.373.313.368.684,22.594.785.703.161,6412811860000.0,3208666226.0,27339292861.0,1122241373127.0,13655871142263.0,21221472334477.0,1373313368684.0,22594785703161.0
