row_label_raw,row_label_full,Company name,31/12/2021 > Cost VND,31/12/2021 > Fair value VND,31/12/2021 > Allowance VND,1/1/2021 > Cost VND,1/1/2021 > Fair value VND,1/1/2021 > Allowance VND,numeric__31/12/2021 > Cost VND,numeric__31/12/2021 > Fair value VND,numeric__31/12/2021 > Allowance VND,numeric__1/1/2021 > Cost VND,numeric__1/1/2021 > Fair value VND,numeric__1/1/2021 > Allowance VND
Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,-,-,-,"216,579,320,000","375,218,868,800",-,,,,,,
Dong A Commercial Joint Stock Bank,Dong A Commercial Joint Stock Bank,Dong A Commercial Joint Stock Bank,"136,265,460,000",(*),"(136,265,460,000)","136,265,460,000",(*),"(136,265,460,000)",,,,,,
Saigon Packaging Group Joint Stock Company,Saigon Packaging Group Joint Stock Company,Saigon Packaging Group Joint Stock Company,"50,000,000,000",(*),-,"50,000,000,000",(*),-,,,,,,
PVI Holdings,PVI Holdings,PVI Holdings,"51,475,140,000","23,741,634,600","(27,733,505,400)","51,475,140,000","15,439,345,200","(36,035,794,800)",,,,,,
Underground Space Investment Development Corporation,Underground Space Investment Development Corporation,Underground Space Investment Development Corporation,"23,085,000,000",(*),"(23,085,000,000)","23,085,000,000",(*),"(23,085,000,000)",,,,,,
Phuong Dong Petroleum Tourism Joint Stock Company,Phuong Dong Petroleum Tourism Joint Stock Company,Phuong Dong Petroleum Tourism Joint Stock Company,"30,700,950,000","10,584,000,000","(30,700,950,000)","30,700,950,000","5,145,000,000","(30,700,950,000)",,,,,,
Saigon Securities Investment Fund A2,Saigon Securities Investment Fund A2,Saigon Securities Investment Fund A2,"35,757,720,722",(*),"(35,757,720,722)","35,757,720,722",(*),"(35,757,720,722)",,,,,,
Saigon Beer Transportation Joint Stock Company,Saigon Beer Transportation Joint Stock Company,Saigon Beer Transportation Joint Stock Company,"26,588,267,394",(*),-,"26,588,267,394",(*),-,,,,,,
Vietnam - Binh Tay Alcohol Joint Stock Company,Vietnam - Binh Tay Alcohol Joint Stock Company,Vietnam - Binh Tay Alcohol Joint Stock Company,"300,000,000",(*),"(300,000,000)","300,000,000",(*),"(300,000,000)",,,,,,
Nha Trang Trade Tourism Joint Stock Company,Nha Trang Trade Tourism Joint Stock Company,Nha Trang Trade Tourism Joint Stock Company,"1,161,147,000",(*),"(1,161,147,000)","1,161,147,000",(*),"(1,161,147,000)",,,,,,
Dai Viet Securities Incorporation,Dai Viet Securities Incorporation,Dai Viet Securities Incorporation,"45,000,000,000",(*),"(45,000,000,000)","45,000,000,000",(*),"(45,000,000,000)",,,,,,
Sabeco HP Investment Company Limited,Sabeco HP Investment Company Limited,Sabeco HP Investment Company Limited,"24,426,586,800",(*),"(24,426,586,800)","24,426,586,800",(*),"(24,426,586,800)",,,,,,
Sai Gon - Dong Nai Beer Joint Stock Company,Sai Gon - Dong Nai Beer Joint Stock Company,Sai Gon - Dong Nai Beer Joint Stock Company,"3,954,000,000",(*),"(3,954,000,000)","3,954,000,000",(*),"(3,954,000,000)",,,,,,
Saigon Dong Ha Tourist Joint Stock Company,Saigon Dong Ha Tourist Joint Stock Company,Saigon Dong Ha Tourist Joint Stock Company,"5,600,000,000",(*),"(5,600,000,000)","5,600,000,000",(*),"(5,600,000,000)",,,,,,
Development Investment Construction Joint Stock Company,Development Investment Construction Joint Stock Company,Development Investment Construction Joint Stock Company,-,-,-,"14,992,108,200",(*),-,,,,,,
,,,"434,314,271,916",,"(333,984,369,922)","665,885,700,116",,"(342,286,659,322)",,,,,,
