row_label_raw,row_label_full,col_0,1/1/2021 VND,Incurred VND,Paid VND,Net-off VND,Reclassified to taxes receivable VND,31/12/2021 VND,numeric__1/1/2021 VND,numeric__Incurred VND,numeric__Paid VND,numeric__Net-off VND,numeric__Reclassified to taxes receivable VND,numeric__31/12/2021 VND
Special sales tax,Special sales tax,Special sales tax,"763,546,141,686","6,942,901,451,012","(6,818,994,323,120)",-,-,"887,453,269,578",,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"319,508,840,202","954,964,248,596","(919,005,428,188)","(190,735,228)","912,508,591","356,189,433,973",,,,,,
Value added tax,Value added tax,Value added tax,"147,404,543,736","12,634,139,080,899","(1,458,504,293,832)","(11,183,713,822,935)",-,"139,325,507,868",,,,,,
Personal income tax,Personal income tax,Personal income tax,"21,420,232,919","96,526,406,996","(87,431,714,011)","(2,936,377,977)","88,859,551","27,667,407,478",,,,,,
Import-export tax,Import-export tax,Import-export tax,-,"10,840,462,760","(10,840,462,760)",-,-,-,,,,,,
Other taxes,Other taxes,Other taxes,"5,418,573,490","62,191,655,009","(56,365,784,911)","(5,041,118,177)","135,617,819","6,338,943,230",,,,,,
,,,"1,257,298,332,033","20,701,563,305,272","(9,351,142,006,822)","(11,191,882,054,317)","1,136,985,961","1,416,974,562,127",,,,,,
