row_label_raw,row_label_full,No,Company name,Principal activities,31/12/2021 > % of equity interest,31/12/2021 > % of voting rights,1/1/2021 > % of equity interest,1/1/2021 > % of voting rights,numeric__Company name,numeric__Principal activities,numeric__31/12/2021 > % of equity interest,numeric__31/12/2021 > % of voting rights,numeric__1/1/2021 > % of equity interest,numeric__1/1/2021 > % of voting rights
II,II,II,Jointly controlled entities,,,,,,,,,,,
1,II > 1,1,Me Linh Point Limited (*),Providing office building leasing and management services,25.00%,25.00%,25.00%,25.00%,,,25.0,25.0,25.0,25.0
2,II > 2,2,Crown Beverage Cans Saigon Limited,Manufacturing aluminium cans,30.00%,30.00%,30.00%,30.00%,,,30.0,30.0,30.0,30.0
3,II > 3,3,Malaya - Vietnam Glass Limited,Manufacturing glass products,30.00%,30.00%,30.00%,30.00%,,,30.0,30.0,30.0,30.0
4,II > 4,4,San Miguel Yamamura Phu Tho Packaging Company Limited,Manufacturing and trading metal packaging,35.00%,35.00%,35.00%,35.00%,,,35.0,35.0,35.0,35.0
5,II > 5,5,Vietnam Spirits and Wine Ltd,Producing and trading alcohol and alcohol-related products,45.00%,45.00%,45.00%,45.00%,,,45.0,45.0,45.0,45.0
III,III,III,Associates,,,,,,,,,,,
6,III > 6,6,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,Providing consulting construction and designing services,28.57%,28.57%,28.57%,28.57%,,,28.57,28.57,28.57,28.57
7,III > 7,7,Truong Sa Food - Food Business Joint Stock Company,Producing agricultural products and foods,38.62%,38.98%,38.62%,38.98%,,,38.62,38.98,38.62,38.98
8,III > 8,8,Saigon - Phutho Beer Joint Stock Company,"Producing and trading beer, alcohol and beverages",30.84%,33.85%,30.84%,33.85%,,,30.84,33.85,30.84,33.85
9,III > 9,9,Sai Gon - Mien Trung Beer Joint Stock Company,"Producing and trading beer, alcohol, beverage and spare parts",32.40%,32.41%,32.40%,32.41%,,,32.4,32.41,32.4,32.41
10,III > 10,10,Tan Thanh Investment Trading Company Limited,Construction and real estates,29.00%,29.00%,29.00%,29.00%,,,29.0,29.0,29.0,29.0
11,III > 11,11,Mechanical and Industrial Construction Joint Stock Company,"Manufacturing, installing machinery, bridges and roads and industrial construction products",26.00%,26.00%,26.00%,26.00%,,,26.0,26.0,26.0,26.0
12,III > 12,12,Sai Gon - Vinh Long Beer Joint Stock Company,"Producing and trading beer, alcohol and beverages",20.00%,20.00%,20.00%,20.00%,,,20.0,20.0,20.0,20.0
13,III > 13,13,Sai Gon - Kien Giang Beer Joint Stock Company,"Producing and trading beer, alcohol, beverage and spare parts",20.00%,20.00%,20.00%,20.00%,,,20.0,20.0,20.0,20.0
14,III > 14,14,Sai Gon - Khanh Hoa Beer Joint Stock Company,"Producing and trading beer, alcohol, beverage and spare parts",26.00%,26.00%,26.00%,26.00%,,,26.0,26.0,26.0,26.0
