row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2021VND,2020VND,,
Công ty TNHH Thuy tinh Malaya Việt Nam,Công ty TNHH Thuy tinh Malaya Việt Nam,Công ty TNHH Thuy tinh Malaya Việt Nam,Công ty TNHH Thuy tinh Malaya Việt Nam,Công ty TNHH Thuy tinh Malaya Việt Nam,,
Bán hàng hóa khác,Công ty TNHH Thuy tinh Malaya Việt Nam > Bán hàng hóa khác,Bán hàng hóa khác,-,6.261.779.366,,6261779366.0
Cung cấp dịch vụ,Công ty TNHH Thuy tinh Malaya Việt Nam > Cung cấp dịch vụ,Cung cấp dịch vụ,238.000.000,-,238000000.0,
Bán phế liệu,Công ty TNHH Thuy tinh Malaya Việt Nam > Bán phế liệu,Bán phế liệu,1.851.153.399,-,1851153399.0,
Mua vật liệu bao bì,Công ty TNHH Thuy tinh Malaya Việt Nam > Mua vật liệu bao bì,Mua vật liệu bao bì,53.216.890.506,43.155.318.816,53216890506.0,43155318816.0
Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,,
Cổ tức đã nhận,Công ty TNHH Trung Tâm Mê Linh > Cổ tức đã nhận,Cổ tức đã nhận,32.650.829.635,29.987.776.415,32650829635.0,29987776415.0
Bán thành phẩm,Công ty TNHH Trung Tâm Mê Linh > Bán thành phẩm,Bán thành phẩm,23.583.500,-,23583500.0,
Mua dịch vụ,Công ty TNHH Trung Tâm Mê Linh > Mua dịch vụ,Mua dịch vụ,7.935.167.159,2.942.120.109,7935167159.0,2942120109.0
Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,,
Bán thành phẩm,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ > Bán thành phẩm,Bán thành phẩm,-,1.778.112.000,,1778112000.0
Bán nguyên vật liệu,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ > Bán nguyên vật liệu,Bán nguyên vật liệu,1.253.280.000,-,1253280000.0,
Mua vật liệu bao bì,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ > Mua vật liệu bao bì,Mua vật liệu bao bì,69.044.749.000,99.383.947.300,69044749000.0,99383947300.0
Giao dịch khác,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ > Giao dịch khác,Giao dịch khác,-,236.645.638,,236645638.0
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,,
Bán nguyên vật liệu và hàng hóa khác,Công ty Liên doanh TNHH Crown Sài Gòn > Bán nguyên vật liệu và hàng hóa khác,Bán nguyên vật liệu và hàng hóa khác,-,1.860.158.464,,1860158464.0
Cung cấp dịch vụ,Công ty Liên doanh TNHH Crown Sài Gòn > Cung cấp dịch vụ,Cung cấp dịch vụ,1.531.920.100,-,1531920100.0,
Mua hàng hóa,Công ty Liên doanh TNHH Crown Sài Gòn > Mua hàng hóa,Mua hàng hóa,-,3.616.558.447,,3616558447.0
Mua vật liệu bao bì,Công ty Liên doanh TNHH Crown Sài Gòn > Mua vật liệu bao bì,Mua vật liệu bao bì,1.814.231.591.609,1.541.129.091.401,1814231591609.0,1541129091401.0
Cổ tức đã nhận,Công ty Liên doanh TNHH Crown Sài Gòn > Cổ tức đã nhận,Cổ tức đã nhận,136.091.200.930,-,136091200930.0,
Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,,
Bán nguyên vật liệu,Công ty Cổ phần Bia Sài Gòn - Bến Tre > Bán nguyên vật liệu,Bán nguyên vật liệu,326.526.514.717,289.630.370.143,326526514717.0,289630370143.0
Basn dụng cụ và vật tư,Công ty Cổ phần Bia Sài Gòn - Bến Tre > Basn dụng cụ và vật tư,Basn dụng cụ và vật tư,228.408.600,-,228408600.0,
Cung cấp dịch vụ,Công ty Cổ phần Bia Sài Gòn - Bến Tre > Cung cấp dịch vụ,Cung cấp dịch vụ,251.625.528,1.572.178.328,251625528.0,1572178328.0
Bán thành phẩm,Công ty Cổ phần Bia Sài Gòn - Bến Tre > Bán thành phẩm,Bán thành phẩm,63.620.000,-,63620000.0,
Mua hàng hóa,Công ty Cổ phần Bia Sài Gòn - Bến Tre > Mua hàng hóa,Mua hàng hóa,944.920.801.547,954.540.383.059,944920801547.0,954540383059.0
Mua nguyên vật liệu,Công ty Cổ phần Bia Sài Gòn - Bến Tre > Mua nguyên vật liệu,Mua nguyên vật liệu,49.801.500,-,49801500.0,
Cổ tức đã nhận,Công ty Cổ phần Bia Sài Gòn - Bến Tre > Cổ tức đã nhận,Cổ tức đã nhận,1.000.000.000,4.000.000.000,1000000000.0,4000000000.0
Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,,
Bán thành phẩm,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp > Bán thành phẩm,Bán thành phẩm,75.663.900,-,75663900.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,,
Mua vật liệu bao bì,Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam > Mua vật liệu bao bì,Mua vật liệu bao bì,900.534.430.105,792.456.083.542,900534430105.0,792456083542.0
Giao dịch khác,Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam > Giao dịch khác,Giao dịch khác,169.800.000,-,169800000.0,
"S.A.S. CTAMAD Co., Ltd","S.A.S. CTAMAD Co., Ltd","S.A.S. CTAMAD Co., Ltd","S.A.S. CTAMAD Co., Ltd","S.A.S. CTAMAD Co., Ltd",,
Giao dịch khác,"S.A.S. CTAMAD Co., Ltd > Giao dịch khác",Giao dịch khác,9.090.908,-,9090908.0,
