row_label_raw,row_label_full,Tên,31.12.2024,31.12.2024_1,31.12.2023,31.12.2023_1,numeric__31.12.2024,numeric__31.12.2024_1,numeric__31.12.2023,numeric__31.12.2023_1
Tên,Tên,Tên,Giá gốcTriệu đồng,Tỷ lệsở hữu (%),Giá gốcTriệu đồng,Tỷ lệsở hữu (%),,,,
Công ty Tài chính TNHHHD SAISON,Tên > Công ty Tài chính TNHHHD SAISON,Công ty Tài chính TNHHHD SAISON,1.214.688,"50,00",1.214.688,"50,00",1214688.0,50.0,1214688.0,50.0
