row_label_raw,row_label_full,col_0,31.12.2024Triệu đồng,31.12.2023Triệu đồng,numeric__31.12.2024Triệu đồng,numeric__31.12.2023Triệu đồng
Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng:,,
Tiền gửi và cho vay các TCTD khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,106.673.177,99.806.936,106673177.0,99806936.0
Chứng khoán kinh doanh (Thuyết minh 6.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng: > Chứng khoán kinh doanh (Thuyết minh 6.4),Chứng khoán kinh doanh (Thuyết minh 6.4),21.176.948,18.580.932,21176948.0,18580932.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng: > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,36.973,53.259,36973.0,53259.0
Cho vay khách hàng (Thuyết minh 8.3),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng: > Cho vay khách hàng (Thuyết minh 8.3),Cho vay khách hàng (Thuyết minh 8.3),424.272.721,327.317.823,424272721.0,327317823.0
Chứng khoán đầu tư (Thuyết minh 9.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng: > Chứng khoán đầu tư (Thuyết minh 9.5),Chứng khoán đầu tư (Thuyết minh 9.5),13.196.768,26.564.970,13196768.0,26564970.0
Các tài sản tài chính khác (Thuyết minh 12.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính riêng: > Các tài sản tài chính khác (Thuyết minh 12.4),Các tài sản tài chính khác (Thuyết minh 12.4),50.644.842,52.130.875,50644842.0,52130875.0
,,,616.001.429,524.454.795,616001429.0,524454795.0
Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,,
Các hợp đồng bảo lãnh tài chính,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,25.982.552,16.533.696,25982552.0,16533696.0
Các cam kết trong nghiệp vụ L/C,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các cam kết trong nghiệp vụ L/C,Các cam kết trong nghiệp vụ L/C,46.647.030,2.643.473,46647030.0,2643473.0
,,,72.629.582,19.177.169,72629582.0,19177169.0
,,,688.631.011,543.631.964,688631011.0,543631964.0
