row_label_raw,row_label_full,col_0,Quyền sử dụng đấtcó thời hạnTriệu đồng,Quyền sử dụng đấtkhông thời hạnTriệu đồng,Phần mềmvi tínhTriệu đồng,TSCĐ vô hìnhkhácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtcó thời hạnTriệu đồng,numeric__Quyền sử dụng đấtkhông thời hạnTriệu đồng,numeric__Phần mềmvi tínhTriệu đồng,numeric__TSCĐ vô hìnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,109.626,531.404,383.350,1.001,1.025.381,109626.0,531404.0,383350.0,1001.0,1025381.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.312,80.359,138.422,-,225.093,6312.0,80359.0,138422.0,,225093.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,115.938,611.763,521.772,1.001,1.250.474,115938.0,611763.0,521772.0,1001.0,1250474.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,14.372,-,307.512,351,322.235,14372.0,,307512.0,351.0,322235.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.134,-,50.499,-,52.633,2134.0,,50499.0,,52633.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,16.506,-,358.011,351,374.868,16506.0,,358011.0,351.0,374868.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,95.254,531.404,75.838,650,703.146,95254.0,531404.0,75838.0,650.0,703146.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,99.432,611.763,163.761,650,875.606,99432.0,611763.0,163761.0,650.0,875606.0
