row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,Quá hạn,Không chịulãi suất,Dưới1 tháng,Từ 1 đến 3tháng,Từ trên 3đến 6 tháng,Từ trên 6đến 12 tháng,Từ trên 1đến 5 năm,Đơn vị: Triệu đồng > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quá hạn,numeric__Không chịulãi suất,numeric__Dưới1 tháng,numeric__Từ 1 đến 3tháng,numeric__Từ trên 3đến 6 tháng,numeric__Từ trên 6đến 12 tháng,numeric__Từ trên 1đến 5 năm,numeric__Đơn vị: Triệu đồng > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bac, đá quỹ","Tài sản > Tiền mặt vàng bac, đá quỹ","Tiền mặt vàng bac, đá quỹ",-,3.105.342,-,-,-,-,-,-,3.105.342,,3105342.0,,,,,,,3105342.0
Tiền gửi tai NHNN,Tài sản > Tiền gửi tai NHNN,Tiền gửi tai NHNN,-,26.502.360,-,-,-,-,-,-,26.502.360,,26502360.0,,,,,,,26502360.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,96.705.509,2.060.648,4.752.020,3.155.000,-,-,106.673.177,,,96705509.0,2060648.0,4752020.0,3155000.0,,,106673177.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,382.922,21.572.853,-,-,21.955.775,,,,,382922.0,21572853.0,,,21955775.0
Các công cụ tải chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tải chính phải sinh và các tài sản tài chính khác,Các công cụ tải chính phải sinh và các tài sản tài chính khác,-,40.773,-,17.720,-,(21.520),-,-,36.973,,40773.0,,17720.0,,-21520.0,,,36973.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),26.766.495,-,71.933.503,176.285.451,55.564.624,84.955.274,8.540.378,226.996,424.272.721,26766495.0,,71933503.0,176285451.0,55564624.0,84955274.0,8540378.0,226996.0,424272721.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),45.000,226.935,13.833.207,1.354.510,3.442.333,7.222.743,3.065.306,19.654.100,48.844.134,45000.0,226935.0,13833207.0,1354510.0,3442333.0,7222743.0,3065306.0,19654100.0,48844134.0
"Gộp vốn, dấu tư dài hạn (*)","Tài sản > Gộp vốn, dấu tư dài hạn (*)","Gộp vốn, dấu tư dài hạn (*)",-,2.019.309,-,-,-,-,-,-,2.019.309,,2019309.0,,,,,,,2019309.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,1.736.698,-,-,-,-,-,-,1.736.698,,1736698.0,,,,,,,1736698.0
Tai sản Cổ khác (*),Tài sản > Tai sản Cổ khác (*),Tai sản Cổ khác (*),47.437,17.670.402,-,3.595.209,2.762.599,31.099.513,-,-,55.175.160,47437.0,17670402.0,,3595209.0,2762599.0,31099513.0,,,55175160.0
