row_label_raw,row_label_full,col_0,Vớn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ của TCTD,Quỹ của TCTD_1,Quỹ của TCTD_2,Quỹ của TCTD_3,Đơn vị: Triệu đồng,Đơn vị: Triệu đồng_1,numeric__Vớn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ của TCTD,numeric__Quỹ của TCTD_1,numeric__Quỹ của TCTD_2,numeric__Quỹ của TCTD_3,numeric__Đơn vị: Triệu đồng,numeric__Đơn vị: Triệu đồng_1
,,,Vớn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ dự trữbổ sungvớndiều lệ,Các quỹkhác,Tổng cộngQuỹ củaTCTD,Vốn đầu tưxày dụngcơ bản,Lợi nhuậnchưaphản phối,Tổngcộng,,,,,,,,,
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,25.303.429,535.956,(413.448),2.105.514,918.763,127.253,3.151.530,89,7.544.520,25303429.0,535956.0,-413448.0,2105514.0,918763.0,127253.0,3151530.0,89.0,7544520.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,10.185.584,,,,,,,,,10185584.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),3.772.892,-,-,-,-,-,-,-,(3.772.892),3772892.0,,,,,,,,-3772892.0
Chia cổ tức bằng tiền mặt (ii),Chia cổ tức bằng tiền mặt (ii),Chia cổ tức bằng tiền mặt (ii),-,-,-,-,-,-,-,-,(2.515.261),,,,,,,,,-2515261.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,764.926,382.463,25.000,1.172.389,-,(1.172.389),,,,764926.0,382463.0,25000.0,1172389.0,,-1172389.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(10.000),,,,,,,,,-10000.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(30.315),(30.315),-,-,,,,,,-30315.0,-30315.0,,
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,29.076.321,535.956,(413.448),2.870.440,1.301.226,121.938,4.293.604,89,10.259.562,29076321.0,535956.0,-413448.0,2870440.0,1301226.0,121938.0,4293604.0,89.0,10259562.0
Phát hành cổ phiếu cho người lao động (iii),Phát hành cổ phiếu cho người lao động (iii),Phát hành cổ phiếu cho người lao động (iii),200.000,-,-,-,-,-,-,-,-,200000.0,,,,,,,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,12.456.594,,,,,,,,,12456594.0
Chia cổ tức bằng cổ phiếu (iv),Chia cổ tức bằng cổ phiếu (iv),Chia cổ tức bằng cổ phiếu (iv),5.825.102,-,-,-,-,-,-,-,(5.825.102),5825102.0,,,,,,,,-5825102.0
Chia cổ tức bằng tiền mặt (v),Chia cổ tức bằng tiền mặt (v),Chia cổ tức bằng tiền mặt (v),-,-,-,-,-,-,-,-,(2.912.549),,,,,,,,,-2912549.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,1.018.559,509.279,25.000,1.552.838,-,(1.552.838),,,,1018559.0,509279.0,25000.0,1552838.0,,-1552838.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(10.000),,,,,,,,,-10000.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(18.159),(18.159),-,-,,,,,,-18159.0,-18159.0,,
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,35.101.423,535.956,(413.448),3.888.999,1.810.505,128.779,5.828.283,89,12.415.667,35101423.0,535956.0,-413448.0,3888999.0,1810505.0,128779.0,5828283.0,89.0,12415667.0
