row_label_raw,row_label_full,col_0,31.12.2024%,31.12.2023%,numeric__31.12.2024%,numeric__31.12.2023%
Các khoản cho vay bằng VND,Các khoản cho vay bằng VND,Các khoản cho vay bằng VND,Các khoản cho vay bằng VND,Các khoản cho vay bằng VND,,
- Ngắn hạn,- Ngắn hạn,- Ngắn hạn,"0,00 - 36,00","0,00 - 36,00",,
- Trung hạn,- Trung hạn,- Trung hạn,"3,50 - 25,00","3,50 - 25,00",,
- Dải hạn,- Dải hạn,- Dải hạn,"3,50 - 25,00","3,50 - 25,00",,
Các khoản cho vay bằng ngoại tệ,Các khoản cho vay bằng ngoại tệ,Các khoản cho vay bằng ngoại tệ,Các khoản cho vay bằng ngoại tệ,Các khoản cho vay bằng ngoại tệ,,
- Ngắn hạn,- Ngắn hạn,- Ngắn hạn,"4,60 - 8,13","5,00 - 8,70",,
- Dải hạn,- Dải hạn,- Dải hạn,"7,63 - 9,52","6,68 - 10,52",,
Nghiệp vụ phát hành L/C trả chậm phát sinh trước ngày 1.7.2024,Nghiệp vụ phát hành L/C trả chậm phát sinh trước ngày 1.7.2024,Nghiệp vụ phát hành L/C trả chậm phát sinh trước ngày 1.7.2024,Nghiệp vụ phát hành L/C trả chậm phát sinh trước ngày 1.7.2024,Nghiệp vụ phát hành L/C trả chậm phát sinh trước ngày 1.7.2024,,
- Ngắn hạn bằng VND,- Ngắn hạn bằng VND,- Ngắn hạn bằng VND,"6,40 - 10,08",Không áp dụng,,
- Ngắn hạn bằng ngoại tệ,- Ngắn hạn bằng ngoại tệ,- Ngắn hạn bằng ngoại tệ,"1,70 - 7,06",Không áp dụng,,
