row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Tiền chi mua sắm tài sản cố định (""TSCĐ"")",,(532.623),(271.106),,,-532623.0,-271106.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,815,-,,,815.0,
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(658.075),-,,,-658075.0,
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,17.375,-,,,17375.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,250.000,384.325,,,250000.0,384325.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(922.508),113.219,,,-922508.0,113219.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
01,01,01,Tăng vốn từ phát hành cổ phiếu,19.1,200.000,-,,191.0,200000.0,
04,04,04,Cổ tức trả cho cổ đông,19.1,(2.912.549),(2.515.261),,191.0,-2912549.0,-2515261.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(2.712.549),(2.515.261),,,-2712549.0,-2515261.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,4.869.811,77.570.335,,,4869811.0,77570335.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,132.186.715,54.616.380,,,132186715.0,54616380.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,32,137.056.526,132.186.715,,32.0,137056526.0,132186715.0
