row_label_raw,row_label_full,Tên,31.12.2024,31.12.2024_1,31.12.2023,31.12.2023_1,numeric__31.12.2024,numeric__31.12.2024_1,numeric__31.12.2023,numeric__31.12.2023_1
Tên,Tên,Tên,Giá gốcTriệu đồng,Tỷ lệsở hữu (%),Giá gốcTriệu đồng,Tỷ lệsở hữu (%),,,,
"Công ty Cổ phần Chứng khoán HD (""HDS"") (i)","Tên > Công ty Cổ phần Chứng khoán HD (""HDS"") (i)","Công ty Cổ phần Chứng khoán HD (""HDS"") (i)",658.075,"29,99",-,-,658075.0,29.99,,
