row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,Quả hạn > Trên 3 tháng,Quả hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ trên 1 tháng đến 3 tháng,Trong hạn > Từ trên 3 tháng đến 12 tháng,Trong hạn > Từ trên 1 năm đến 5 năm,Trong hạn > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quả hạn > Trên 3 tháng,numeric__Quả hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng,numeric__Trong hạn > Từ trên 1 năm đến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quỹ","Tải sản > Tiền mặt vàng bạc, đá quỹ","Tiền mặt vàng bạc, đá quỹ",-,-,3.105.342,-,-,-,-,3.105.342,,,3105342.0,,,,,3105342.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,26.502.360,-,-,-,-,26.502.360,,,26502360.0,,,,,26502360.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,96.705.509,2.060.648,7.907.020,-,-,106.673.177,,,96705509.0,2060648.0,7907020.0,,,106673177.0
Chứng khoán kinh doanh,Tải sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,21.955.775,-,-,21.955.775,,,,,21955775.0,,,21955775.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,236.758,(19.134),(180.651),-,-,36.973,,,236758.0,-19134.0,-180651.0,,,36973.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),7.209.834,19.556.661,23.533.551,47.620.125,178.852.847,111.150.489,36.349.214,424.272.721,7209834.0,19556661.0,23533551.0,47620125.0,178852847.0,111150489.0,36349214.0,424272721.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),45.000,-,13.626.938,301.210,6.271.468,8.945.417,19.654.101,48.844.134,45000.0,,13626938.0,301210.0,6271468.0,8945417.0,19654101.0,48844134.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,2.019.309,2.019.309,,,,,,,2019309.0,2019309.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,-,-,644.212,311,10.076,395.239,686.860,1.736.698,,,644212.0,311.0,10076.0,395239.0,686860.0,1736698.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),47.437,-,10.418.279,5.510.810,35.467.410,697.301,3.033.923,55.175.160,47437.0,,10418279.0,5510810.0,35467410.0,697301.0,3033923.0,55175160.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,7.302.271,19.556.661,174.772.949,55.473.970,250.283.945,121.188.446,61.743.407,690.321.649,7302271.0,19556661.0,174772949.0,55473970.0,250283945.0,121188446.0,61743407.0,690321649.0
