row_label_raw,row_label_full,Chỉ tiêu,1.1.2024Triệu đồng,Phát sinh trong năm > Số phải nộpTriệu đồng,Phát sinh trong năm > Số đã nộpTriệu đồng,31.12.2024Triệu đồng,numeric__1.1.2024Triệu đồng,numeric__Phát sinh trong năm > Số phải nộpTriệu đồng,numeric__Phát sinh trong năm > Số đã nộpTriệu đồng,numeric__31.12.2024Triệu đồng
Thuế TNDN,Thuế TNDN,Thuế TNDN,1.769.067,3.317.118,(4.232.910),853.275,1769067.0,3317118.0,-4232910.0,853275.0
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,63.810,725.034,(730.975),57.869,63810.0,725034.0,-730975.0,57869.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,20.411,575.709,(522.994),73.126,20411.0,575709.0,-522994.0,73126.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,16.654,115.420,(115.747),16.327,16654.0,115420.0,-115747.0,16327.0
Khác,Khác,Khác,-,79.337,(70.731),8.606,,79337.0,-70731.0,8606.0
,,,1.869.942,4.812.618,(5.673.357),1.009.203,1869942.0,4812618.0,-5673357.0,1009203.0
