row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị, dụng cụquản lýTriệu đồng",TSCĐ hữu hìnhkhácTriệu đồng,TổngcộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị, dụng cụquản lýTriệu đồng",numeric__TSCĐ hữu hìnhkhácTriệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,511.243,366.248,426.794,277.251,20.615,1.602.151,511243.0,366248.0,426794.0,277251.0,20615.0,1602151.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,82.684,127.173,54.510,34.190,8.973,307.530,82684.0,127173.0,54510.0,34190.0,8973.0,307530.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(148),(24.132),(3.734),(238),(80),(28.332),-148.0,-24132.0,-3734.0,-238.0,-80.0,-28332.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,593.779,469.289,477.570,311.203,29.508,1.881.349,593779.0,469289.0,477570.0,311203.0,29508.0,1881349.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,158.354,207.824,280.975,255.200,13.376,915.729,158354.0,207824.0,280975.0,255200.0,13376.0,915729.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,21.859,41.561,48.889,17.325,2.665,132.299,21859.0,41561.0,48889.0,17325.0,2665.0,132299.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(148),(24.132),(3.173),(238),(80),(27.771),-148.0,-24132.0,-3173.0,-238.0,-80.0,-27771.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,180.065,225.253,326.691,272.287,15.961,1.020.257,180065.0,225253.0,326691.0,272287.0,15961.0,1020257.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,352.889,158.424,145.819,22.051,7.239,686.422,352889.0,158424.0,145819.0,22051.0,7239.0,686422.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,413.714,244.036,150.879,38.916,13.547,861.092,413714.0,244036.0,150879.0,38916.0,13547.0,861092.0
