row_label_raw,row_label_full,Họ và tên,Chức vụ,2024Triệu đồng,2023Triệu đồng,numeric__Chức vụ,numeric__2024Triệu đồng,numeric__2023Triệu đồng
Ông Kim Byoungho,Ông Kim Byoungho,Ông Kim Byoungho,"Chủ tịch, Thành viên độc lập",15.085,5.177,,15085.0,5177.0
Bà Nguyễn Thị Phương Thảo,Bà Nguyễn Thị Phương Thảo,Bà Nguyễn Thị Phương Thảo,Phó Chủ tịch thường trực,3.692,1.851,,3692.0,1851.0
Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,Phó Chủ tịch,888,1.027,,888.0,1027.0
Ông Nguyễn Thành Đô,Ông Nguyễn Thành Đô,Ông Nguyễn Thành Đô,Phó Chủ tịch,2.410,2.227,,2410.0,2227.0
Ông Nguyễn Hữu Đặng,Ông Nguyễn Hữu Đặng,Ông Nguyễn Hữu Đặng,Phó Chủ tịch,2.514,3.541,,2514.0,3541.0
Ông Lê Mạnh Dũng,Ông Lê Mạnh Dũng,Ông Lê Mạnh Dũng,Thành viên độc lập,1.876,1.171,,1876.0,1171.0
,,,Thành viên,,,,,
Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,(từ ngày 26.4.2023),858,403,,858.0,403.0
,,,Thành viên,,,,,
Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,(dến trước ngày 26.4.2023),-,1.035,,,1035.0
,,,,27.323,16.432,,27323.0,16432.0
