row_label_raw,row_label_full,Họ và tên,Chức vụ,2024Triệu đồng,2023Triệu đồng,numeric__Chức vụ,numeric__2024Triệu đồng,numeric__2023Triệu đồng
Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Ông Phạm Quốc Thanh,Tổng Giám đốc,3.476,1.771,,3476.0,1771.0
Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Ông Nguyễn Minh Đức,Phó Tổng Giám đốc,2.621,2.180,,2621.0,2180.0
Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Phó Tổng Giám đốc,1.928,1.569,,1928.0,1569.0
Ông Nguyễn Văn Hảo,Ông Nguyễn Văn Hảo,Ông Nguyễn Văn Hảo,Phó Tổng Giám đốc,2.063,2.141,,2063.0,2141.0
Ông Nguyễn Đăng Thanh,Ông Nguyễn Đăng Thanh,Ông Nguyễn Đăng Thanh,Phó Tổng Giám đốc,2.501,1.858,,2501.0,1858.0
Ông Trần Hoài Nam,Ông Trần Hoài Nam,Ông Trần Hoài Nam,Phó Tổng Giám đốc,2.371,2.054,,2371.0,2054.0
Ông Nguyễn Cảnh Vinh,Ông Nguyễn Cảnh Vinh,Ông Nguyễn Cảnh Vinh,Phó Tổng Giám đốc,3.958,2.601,,3958.0,2601.0
Ông Trần Thái Hòa,Ông Trần Thái Hòa,Ông Trần Thái Hòa,Phó Tổng Giám đốc,1.615,1.347,,1615.0,1347.0
Ông Trần Xuân Huy,Ông Trần Xuân Huy,Ông Trần Xuân Huy,Phó Tổng Giám đốc(từ ngày 16 tháng 10 năm 2023),4.645,806,,4645.0,806.0
Ông Lê Thành Trung,Ông Lê Thành Trung,Ông Lê Thành Trung,Phó Tổng Giám đốc(dếng ngày 16 tháng 12 năm 2024),2.700,2.158,,2700.0,2158.0
Ông Phạm Văn Đầu,Ông Phạm Văn Đầu,Ông Phạm Văn Đầu,Giám đốc Tài chính,1.940,1.359,,1940.0,1359.0
Bà Hồ Đăng Hoàng Quyên,Bà Hồ Đăng Hoàng Quyên,Bà Hồ Đăng Hoàng Quyên,Kế toán Trường,1.304,1.038,,1304.0,1038.0
,,,,31.122,20.882,,31122.0,20882.0
