row_label_raw,row_label_full,col_0,31.12.2024Triệu đồng,31.12.2023Triệu đồng(*),numeric__31.12.2024Triệu đồng,numeric__31.12.2023Triệu đồng(*)
Của khách hàng:,Của khách hàng:,Của khách hàng:,Của khách hàng:,Của khách hàng:,,
- Bất động sản,Của khách hàng: > - Bất động sản,- Bất động sản,388.639.341,357.224.126,388639341.0,357224126.0
- Giấy tờ có giá,Của khách hàng: > - Giấy tờ có giá,- Giấy tờ có giá,87.864.753,61.228.868,87864753.0,61228868.0
"- Máy móc, thiết bị","Của khách hàng: > - Máy móc, thiết bị","- Máy móc, thiết bị",11.814.167,12.049.601,11814167.0,12049601.0
- Phương tiện vận chuyển,Của khách hàng: > - Phương tiện vận chuyển,- Phương tiện vận chuyển,5.988.036,2.914.038,5988036.0,2914038.0
"- Hàng hóa, nguyên vật liệu","Của khách hàng: > - Hàng hóa, nguyên vật liệu","- Hàng hóa, nguyên vật liệu",2.223.155,5.655.113,2223155.0,5655113.0
- Tài sản khác,Của khách hàng: > - Tài sản khác,- Tài sản khác,201.901.687,259.534.081,201901687.0,259534081.0
,,,698.431.139,698.605.827,698431139.0,698605827.0
Của TCTD:,Của TCTD:,Của TCTD:,Của TCTD:,Của TCTD:,,
- Quyền đôi nợ,Của TCTD: > - Quyền đôi nợ,- Quyền đôi nợ,6.630.000,4.355.000,6630000.0,4355000.0
- Giấy tờ có giá,Của TCTD: > - Giấy tờ có giá,- Giấy tờ có giá,4.000.000,-,4000000.0,
,,,10.630.000,4.355.000,10630000.0,4355000.0
,,,709.061.139,702.960.827,709061139.0,702960827.0
