row_label_raw,row_label_full,col_0,2024Triệu đồng,2023Triệu đồng,numeric__2024Triệu đồng,numeric__2023Triệu đồng
Thu nhập từ hoạt động kinh doanh ngoại hồi:,Thu nhập từ hoạt động kinh doanh ngoại hồi:,Thu nhập từ hoạt động kinh doanh ngoại hồi:,Thu nhập từ hoạt động kinh doanh ngoại hồi:,Thu nhập từ hoạt động kinh doanh ngoại hồi:,,
- Thu từ các công cụ tài chính phải sinh,Thu nhập từ hoạt động kinh doanh ngoại hồi: > - Thu từ các công cụ tài chính phải sinh,- Thu từ các công cụ tài chính phải sinh,1.437.137,980.727,1437137.0,980727.0
- Thu từ kinh doanh ngoại tệ giao ngay,Thu nhập từ hoạt động kinh doanh ngoại hồi: > - Thu từ kinh doanh ngoại tệ giao ngay,- Thu từ kinh doanh ngoại tệ giao ngay,1.056.852,1.391.875,1056852.0,1391875.0
- Thu từ kinh doanh vàng,Thu nhập từ hoạt động kinh doanh ngoại hồi: > - Thu từ kinh doanh vàng,- Thu từ kinh doanh vàng,4.350,2.793,4350.0,2793.0
,,,2.498.339,2.375.395,2498339.0,2375395.0
Chi phí hoạt động kinh doanh ngoại hồi:,Chi phí hoạt động kinh doanh ngoại hồi:,Chi phí hoạt động kinh doanh ngoại hồi:,Chi phí hoạt động kinh doanh ngoại hồi:,Chi phí hoạt động kinh doanh ngoại hồi:,,
- Chi về các công cụ tài chính phải sinh,Chi phí hoạt động kinh doanh ngoại hồi: > - Chi về các công cụ tài chính phải sinh,- Chi về các công cụ tài chính phải sinh,(1.176.322),(726.356),-1176322.0,-726356.0
- Chi về kinh doanh ngoại tệ giao ngay,Chi phí hoạt động kinh doanh ngoại hồi: > - Chi về kinh doanh ngoại tệ giao ngay,- Chi về kinh doanh ngoại tệ giao ngay,(463.140),(944.551),-463140.0,-944551.0
- Chi về kinh doanh vàng,Chi phí hoạt động kinh doanh ngoại hồi: > - Chi về kinh doanh vàng,- Chi về kinh doanh vàng,(1.545),(271),-1545.0,-271.0
,,,(1.641.007),(1.671.178),-1641007.0,-1671178.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Chi phí hoạt động kinh doanh ngoại hồi: > Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,857.332,704.217,857332.0,704217.0
