row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2024Triệu đồng,Tại ngày > 31.12.2023Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2024Triệu đồng,numeric__Tại ngày > 31.12.2023Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,3.105.342,2.810.010,,3.0,3105342.0,2810010.0
II,A > II,II,Tiền gửi tại NHNN,4,26.502.360,41.314.547,,4.0,26502360.0,41314547.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",,106.673.177,99.806.936,,,106673177.0,99806936.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5.1,94.198.824,88.062.158,,51.0,94198824.0,88062158.0
2,A > 2,2,Cho vay các TCTD khác,5.2,12.474.353,11.744.778,,52.0,12474353.0,11744778.0
IV,A > IV,IV,Chứng khoán kinh doanh,,21.955.775,18.580.932,,,21955775.0,18580932.0
1,A > 1,1,Chứng khoán kinh doanh,6.1,21.955.775,18.580.932,,61.0,21955775.0,18580932.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,36.973,53.259,,7.0,36973.0,53259.0
VI,A > VI,VI,Cho vay khách hàng,8,419.084.918,323.784.316,,8.0,419084918.0,323784316.0
1,A > 1,1,Cho vay khách hàng,,424.272.721,327.317.823,,,424272721.0,327317823.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(5.187.803),(3.533.507),,,-5187803.0,-3533507.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,48.751.284,44.092.289,,,48751284.0,44092289.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,9.1,31.407.524,31.871.688,,91.0,31407524.0,31871688.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,9.2,17.436.610,12.304.873,,92.0,17436610.0,12304873.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,9.6,(92.850),(84.272),,96.0,-92850.0,-84272.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,2.000.807,1.358.469,,10.0,2000807.0,1358469.0
1,A > 1,1,Đầu tư vào công ty con,,1.214.688,1.214.688,,,1214688.0,1214688.0
3,A > 3,3,Đầu tư vào công ty liên kết,,658.075,-,,,658075.0,
4,A > 4,4,Đầu tư dài hạn khác,,146.546,163.921,,,146546.0,163921.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(18.502),(20.140),,,-18502.0,-20140.0
X,A > X,X,Tài sản cố định,,1.736.698,1.389.568,,,1736698.0,1389568.0
1,A > 1,1,Tài sản cố định hữu hình,11.1,861.092,686.422,,111.0,861092.0,686422.0
a,A > a,a,Nguyên giá,,1.881.349,1.602.151,,,1881349.0,1602151.0
b,A > b,b,Giá trị khấu hao lũy kế,,(1.020.257),(915.729),,,-1020257.0,-915729.0
3,A > 3,3,Tài sản cố định vô hình,11.2,875.606,703.146,,112.0,875606.0,703146.0
a,A > a,a,Nguyên giá,,1.250.474,1.025.381,,,1250474.0,1025381.0
b,A > b,b,Giá trị khấu hao lũy kế,,(374.868),(322.235),,,-374868.0,-322235.0
XII,A > XII,XII,Tài sản Có khác,,55.128.234,56.795.193,,,55128234.0,56795193.0
1,A > 1,1,Các khoản phải thu,12.1,48.166.441,48.734.449,,121.0,48166441.0,48734449.0
2,A > 2,2,"Các khoản lãi, phí phải thu",12.2,5.270.744,6.350.264,,122.0,5270744.0,6350264.0
3,A > 3,3,"Tài sản thuế thu nhập doanh nghiệp (""TNDN"") hoãn lại",31,155.916,76.708,,31.0,155916.0,76708.0
4,A > 4,4,Tài sản Có khác,12.3,1.582.059,1.680.293,,123.0,1582059.0,1680293.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Cổ nội bằng khác,,(46.926),(46.521),,,-46926.0,-46521.0
,,,TỔNG TÀI SẢN,,684.975.568,589.985.519,,,684975568.0,589985519.0
