row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2023,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ trên 1 tháng đến 3 tháng,Trong hạn > Từ trên 3 tháng đến 12 tháng,Trong hạn > Từ trên 1 năm đến 5 năm,Đơn vị: Triệu đồng > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng,numeric__Trong hạn > Từ trên 1 năm đến 5 năm,numeric__Đơn vị: Triệu đồng > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quỹ","Tài sản > Tiền mặt vàng bạc, đá quỹ","Tiền mặt vàng bạc, đá quỹ",-,-,2.810.010,-,-,-,-,2.810.010,,,2810010.0,,,,,2810010.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,41.314.547,-,-,-,-,41.314.547,,,41314547.0,,,,,41314547.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,87.101.944,1.177.700,11.527.292,-,-,99.806.936,,,87101944.0,1177700.0,11527292.0,,,99806936.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,4.403.015,14.177.917,-,-,18.580.932,,,,4403015.0,14177917.0,,,18580932.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,31.471,33.991,(13.803),1.600,-,53.259,,,31471.0,33991.0,-13803.0,1600.0,,53259.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),4.935.282,16.533.505,23.212.867,37.842.610,115.129.400,92.693.052,36.971.107,327.317.823,4935282.0,16533505.0,23212867.0,37842610.0,115129400.0,92693052.0,36971107.0,327317823.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),45.000,2.484.995,1.932.172,9.088.619,6.658.372,8.526.130,15.441.273,44.176.561,45000.0,2484995.0,1932172.0,9088619.0,6658372.0,8526130.0,15441273.0,44176561.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,1.378.609,1.378.609,,,,,,,1378609.0,1378609.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,-,563.852,162,14.639,251.211,559.704,1.389.568,,,563852.0,162.0,14639.0,251211.0,559704.0,1389568.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),46.799,-,14.152.997,7.644.073,31.166.224,790.524,3.041.097,56.841.714,46799.0,,14152997.0,7644073.0,31166224.0,790524.0,3041097.0,56841714.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.027.081,19.018.500,171.119.860,60.190.170,178.660.041,102.262.517,57.391.790,593.669.959,5027081.0,19018500.0,171119860.0,60190170.0,178660041.0,102262517.0,57391790.0,593669959.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,3.273,451,5.976,16.890,-,26.590,,,3273.0,451.0,5976.0,16890.0,,26590.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,67.459.972,8.891.230,28.266.443,4.845.910,-,109.463.555,,,67459972.0,8891230.0,28266443.0,4845910.0,,109463555.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,93.599.515,70.863.590,197.862.495,8.452.287,1,370.777.888,,,93599515.0,70863590.0,197862495.0,8452287.0,1.0,370777888.0
"Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,70.604,70.604,564.931,2.104.990,2.811.129,,,,70604.0,70604.0,564931.0,2104990.0,2811129.0
