row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2024Triệu đồng,Tại ngày > 31.12.2023Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2024Triệu đồng,numeric__Tại ngày > 31.12.2023Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,13,15.434,26.590,,13.0,15434.0,26590.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,15.434,26.590,,,15434.0,26590.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,97.367.831,109.463.555,,,97367831.0,109463555.0
1,B > 1,1,Tiền gửi của các TCTD khác,14.1,75.610.753,63.198.743,,141.0,75610753.0,63198743.0
2,B > 2,2,Vay các TCTD khác,14.2,21.757.078,46.264.812,,142.0,21757078.0,46264812.0
III,B > III,III,Tiền gửi của khách hàng,15,437.505.165,370.777.888,,15.0,437505165.0,370777888.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",16,2.788.443,2.811.129,,16.0,2788443.0,2811129.0
VI,B > VI,VI,Phát hành giấy tờ có giá,17,75.559.744,45.187.148,,17.0,75559744.0,45187148.0
VII,B > VII,VII,Các khoản nợ khác,18,18.270.981,17.967.125,,18.0,18270981.0,17967125.0
1,B > 1,1,"Các khoản lãi, phí phải trả",18.1,7.868.597,10.117.289,,181.0,7868597.0,10117289.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18.2,10.402.384,7.849.836,,182.0,10402384.0,7849836.0
,,,TỔNG NỘ PHẢI TRẢ,,631.507.598,546.233.435,,,631507598.0,546233435.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,19,53.467.970,43.752.084,,19.0,53467970.0,43752084.0
1,B > 1,1,Vốn của TCTD,,35.224.020,29.198.918,,,35224020.0,29198918.0
a,B > a,a,Vốn điều lệ,,35.101.423,29.076.321,,,35101423.0,29076321.0
b,B > b,b,Vốn đầu tư xây dựng cơ bản,,89,89,,,89.0,89.0
c,B > c,c,Thặng dư vốn cổ phần,,535.956,535.956,,,535956.0,535956.0
d,B > d,d,Cổ phiếu quỹ,,(413.448),(413.448),,,-413448.0,-413448.0
2,B > 2,2,Quỹ của TCTD,,5.828.283,4.293.604,,,5828283.0,4293604.0
5,B > 5,5,Lợi nhuận chưa phân phối,,12.415.667,10.259.562,,,12415667.0,10259562.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,53.467.970,43.752.084,,,53467970.0,43752084.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,684.975.568,589.985.519,,,684975568.0,589985519.0
