row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2023,Quả hạn,Không chịu lãi suất,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Đơn vị: Triệu đồng > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quả hạn,numeric__Không chịu lãi suất,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Đơn vị: Triệu đồng > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bac, đá quỷ","Tải sản > Tiền mặt vàng bac, đá quỷ","Tiền mặt vàng bac, đá quỷ",-,2.810.010,-,-,-,-,-,-,2.810.010,,2810010.0,,,,,,,2810010.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,41.314.547,-,-,-,-,-,-,41.314.547,,41314547.0,,,,,,,41314547.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,87.101.945,1.177.700,999.266,10.528.025,-,-,99.806.936,,,87101945.0,1177700.0,999266.0,10528025.0,,,99806936.0
Chủng khoán kinh doanh,Tải sản > Chủng khoán kinh doanh,Chủng khoán kinh doanh,-,-,-,4.403.015,1.630.697,12.547.220,-,-,18.580.932,,,,4403015.0,1630697.0,12547220.0,,,18580932.0
Các công cụ tài chính phải sinh và các tài sản tài chính,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính,Các công cụ tài chính phải sinh và các tài sản tài chính,-,51.889,(230),-,-,-,1.600,-,53.259,,51889.0,-230.0,,,,1600.0,,53259.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),21.468.787,-,87.310.739,143.150.155,39.269.594,33.162.659,2.871.013,84.876,327.317.823,21468787.0,,87310739.0,143150155.0,39269594.0,33162659.0,2871013.0,84876.0,327317823.0
Chủng khoán đầu tư (*),Tải sản > Chủng khoán đầu tư (*),Chủng khoán đầu tư (*),2.529.995,285.222,1.971.988,12.507.955,1.567.407,4.386.854,5.485.867,15.441.273,44.176.561,2529995.0,285222.0,1971988.0,12507955.0,1567407.0,4386854.0,5485867.0,15441273.0,44176561.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,1.378.609,-,-,-,-,-,-,1.378.609,,1378609.0,,,,,,,1378609.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,-,1.389.568,-,-,-,-,-,-,1.389.568,,1389568.0,,,,,,,1389568.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),46.799,18.532.915,3.139.526,5.853.740,11.757.812,17.305.922,205.000,-,56.841.714,46799.0,18532915.0,3139526.0,5853740.0,11757812.0,17305922.0,205000.0,,56841714.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,24.045.581,65.762.760,179.523.968,167.092.565,55.224.776,77.930.680,8.563.480,15.526.149,593.669.959,24045581.0,65762760.0,179523968.0,167092565.0,55224776.0,77930680.0,8563480.0,15526149.0,593669959.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,3.273,18.917,337,674,3.389,-,26.590,,,3273.0,18917.0,337.0,674.0,3389.0,,26590.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,67.459.973,13.284.099,14.690.569,13.489.580,539.334,-,109.463.555,,,67459973.0,13284099.0,14690569.0,13489580.0,539334.0,,109463555.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,238.108,93.361.407,70.863.590,141.772.128,56.090.367,8.452.287,1,370.777.888,,238108.0,93361407.0,70863590.0,141772128.0,56090367.0,8452287.0,1.0,370777888.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,2.753.542,-,-,102,57.485,2.811.129,,,,2753542.0,,,102.0,57485.0,2811129.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,3.599.929,8.999.927,15.029.577,697.684,16.860.031,-,45.187.148,,,3599929.0,8999927.0,15029577.0,697684.0,16860031.0,,45187148.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,17.967.125,-,-,-,-,-,-,17.967.125,,17967125.0,,,,,,,17967125.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,18.205.233,164.424.582,95.920.075,171.492.611,70.278.305,25.855.143,57.486,546.233.435,,18205233.0,164424582.0,95920075.0,171492611.0,70278305.0,25855143.0,57486.0,546233435.0
