row_label_raw,row_label_full,Ngân; hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Bắc Ninh > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Quế Võ,"Lãi suất > 10,5%/năm","Kỳ hạn trả gốc và lãi > Gốc trả 6 tháng một lần kể từ ngày 1 tháng 12 năm 2018, lãi vay trả 3 tháng một lần kể từ ngày 19 tháng 9 năm 2018 > Ngày trả nợ cuối cùng là ngày 29 tháng 11 năm 2022; Lãi vay trả 3 tháng 1 lần > Ngày trả nợ cuối cùng là ngày 16 tháng 11 năm 2022; Lãi vay trả 3 tháng 1 lần vào ngày 25. > Gốc trả 6 tháng một lần từ ngày 25 tháng 7 năm 2016. Lãi thanh toán 3 tháng/lần vào ngày 25",Số cuối năm > 40.127.100.800 > 131.763.706.335 > 135.895.511.873 > 37.239.627.200,"Đơn vị tính: VNDTài sản đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đồ thị Phúc Ninh quy mô 22 ha. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100ha giai đoạn 1 KCN Nam Son – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh CSHT, đất và tài sản gắn liền với đất của 100ha giai đoạn 1 KCN Nam Son – Hạp Lĩnh. > Toàn bộ các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng KCN Quế Mở rộng 83,8 ha > Toàn bộ các tài sản gắn liền với đất hình thành từ dự án đầu tư xây dựng văn phòng, nhà xưởng Lô M, N, T tại Khu công nghiệp Quế Võ Mở rộng.","numeric__Lãi suất > 10,5%/năm","numeric__Kỳ hạn trả gốc và lãi > Gốc trả 6 tháng một lần kể từ ngày 1 tháng 12 năm 2018, lãi vay trả 3 tháng một lần kể từ ngày 19 tháng 9 năm 2018 > Ngày trả nợ cuối cùng là ngày 29 tháng 11 năm 2022; Lãi vay trả 3 tháng 1 lần > Ngày trả nợ cuối cùng là ngày 16 tháng 11 năm 2022; Lãi vay trả 3 tháng 1 lần vào ngày 25. > Gốc trả 6 tháng một lần từ ngày 25 tháng 7 năm 2016. Lãi thanh toán 3 tháng/lần vào ngày 25",numeric__Số cuối năm > 40.127.100.800 > 131.763.706.335 > 135.895.511.873 > 37.239.627.200,"numeric__Đơn vị tính: VNDTài sản đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đồ thị Phúc Ninh quy mô 22 ha. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100ha giai đoạn 1 KCN Nam Son – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh CSHT, đất và tài sản gắn liền với đất của 100ha giai đoạn 1 KCN Nam Son – Hạp Lĩnh. > Toàn bộ các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng KCN Quế Mở rộng 83,8 ha > Toàn bộ các tài sản gắn liền với đất hình thành từ dự án đầu tư xây dựng văn phòng, nhà xưởng Lô M, N, T tại Khu công nghiệp Quế Võ Mở rộng."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,345.025.946.208,,,,345025946208.0,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,,,54.000.000.000291.025.946.208,,,,5.400000000029102e+22,
