row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,37.573.875.873,32.132.759.048,37573875873.0,32132759048.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,5.151.877.260,3.903.053.668,5151877260.0,3903053668.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,30.139.543.852,39.607.901.435,30139543852.0,39607901435.0
Khác,Khác,Khác,14.304.233.085,7.627.553.741,14304233085.0,7627553741.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,87.169.530.070,83.271.267.892,87169530070.0,83271267892.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
"Phí tư vấn pháp lý, môi giới bán hàng","Các khoản chi phí bán hàng phát sinh trong năm > Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",125.413.599.774,7.694.886.865,125413599774.0,7694886865.0
Chi phí nhân viên bán hàng,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,2.122.288.000,1.963.650.756,2122288000.0,1963650756.0
Khác,Các khoản chi phí bán hàng phát sinh trong năm > Khác,Khác,7.915.220.992,-,7915220992.0,
TỔNG CỘNG,Các khoản chi phí bán hàng phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,135.451.108.766,9.658.537.621,135451108766.0,9658537621.0
