row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Tiền phạt hợp đồng thu được,Thu nhập khác > Tiền phạt hợp đồng thu được,Tiền phạt hợp đồng thu được,1.220.000.000,-,1220000000.0,
"Lãi từ thanh lý, nhượng bán tài sản cố định","Thu nhập khác > Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định",-,418.982.667,,418982667.0
Các khoản khác,Thu nhập khác > Các khoản khác,Các khoản khác,220.043.026,211.283.933,220043026.0,211283933.0
,,,1.440.043.026,630.266.600,1440043026.0,630266600.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Các khoản phạt,Chi phí khác > Các khoản phạt,Các khoản phạt,26.533.945.594,1.911.952.600,26533945594.0,1911952600.0
Các khoản khác,Chi phí khác > Các khoản khác,Các khoản khác,132.405.247,1.081.806.300,132405247.0,1081806300.0
,,,26.666.350.841,2.993.758.900,26666350841.0,2993758900.0
LỔ KHÁC THUÀN,Chi phí khác > LỔ KHÁC THUÀN,LỔ KHÁC THUÀN,(25.226.307.815),(2.363.492.300),-25226307815.0,-2363492300.0
