row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Thu tiền đặt cọc thực hiện nghĩa vụ hợp đồng tại khu đô thị Phúc Ninh (i),Ngắn hạn > Thu tiền đặt cọc thực hiện nghĩa vụ hợp đồng tại khu đô thị Phúc Ninh (i),Thu tiền đặt cọc thực hiện nghĩa vụ hợp đồng tại khu đô thị Phúc Ninh (i),444.102.553.400,315.683.005.739,444102553400.0,315683005739.0
Phải trả khác bên liên quan(Thuyết minh số 28),Ngắn hạn > Phải trả khác bên liên quan(Thuyết minh số 28),Phải trả khác bên liên quan(Thuyết minh số 28),858.000.000,-,858000000.0,
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,8.769.316.556,10.107.711.095,8769316556.0,10107711095.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,453.729.869.956,325.790.716.834,453729869956.0,325790716834.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công ty Cổ phần Cơ điện tử và Tin học Cholimex (ii),Dài hạn > Công ty Cổ phần Cơ điện tử và Tin học Cholimex (ii),Công ty Cổ phần Cơ điện tử và Tin học Cholimex (ii),55.500.000.000,55.500.000.000,55500000000.0,55500000000.0
Đặt cọc thuê nhà xưởng Yuzhan,Dài hạn > Đặt cọc thuê nhà xưởng Yuzhan,Đặt cọc thuê nhà xưởng Yuzhan,-,3.410.273.328,,3410273328.0
Các khoản đặt cọc khác,Dài hạn > Các khoản đặt cọc khác,Các khoản đặt cọc khác,7.525.083.268,3.040.306.708,7525083268.0,3040306708.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,63.025.083.268,61.950.580.036,63025083268.0,61950580036.0
