row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8)
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,Tạm ứng,3.489.211.820,3.489.211.820,,,3489211820.0,3489211820.0
Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát,Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát,Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát,Công ty con,Lãi vay,353.806.028,-,,,353806028.0,
Ông Phan Anh Dũng,Ông Phan Anh Dũng,Ông Phan Anh Dũng,Phó Tổng Giám đốc,Tạm ứng,110.000.000,110.000.000,,,110000000.0,110000000.0
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Chủ tịch Hội đồng quản trị,Tạm ứng,-,40.823.149.689,,,,40823149689.0
,,,,,3.953.017.848,44.422.361.509,,,3953017848.0,44422361509.0
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát (i),Phải thu dài hạn khác (Thuyết minh số 8) > Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát (i),Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát (i),Công ty con,"Lãi vay, xây dựng cơ bản khác",722.428.182.751,537.980.566.919,,,722428182751.0,537980566919.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty con,Phải thu từ hợp đồng hợp tác kinh doanh,381.000.000.000,5.823.547.023,,,381000000000.0,5823547023.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Phải thu từ hợp đồng hợp tác kinh doanh,200.000.000.000,-,,,200000000000.0,
,,,,,1.303.428.182.751,543.804.113.942,,,1303428182751.0,543804113942.0
Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Lãi vay phải trả ngắn hạn,2.284.449.599,32.252.315.795,,,2284449599.0,32252315795.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty liên kết,Lãi vay phải trả ngắn hạn,775.082.727,640.285.731,,,775082727.0,640285731.0
,,,,,3.059.532.326,32.892.601.526,,,3059532326.0,32892601526.0
Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Lãi vay phải trả dài hạn,1.570.684.931,-,,,1570684931.0,
Công ty CP KCN Sài Gòn Bắc Giang,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty CP KCN Sài Gòn Bắc Giang,Công ty CP KCN Sài Gòn Bắc Giang,Công ty con,Lãi vay phải trả dài hạn,4.187.988.081,-,,,4187988081.0,
,,,,,5.758.673.012,-,,,5758673012.0,
