row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 19),Mối quan hệ > Vay ngắn hạn (Thuyết minh số 19),Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 19),Số cuối năm > Vay ngắn hạn (Thuyết minh số 19),Số đầu năm > Vay ngắn hạn (Thuyết minh số 19),numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 19),numeric__Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 19),numeric__Số cuối năm > Vay ngắn hạn (Thuyết minh số 19),numeric__Số đầu năm > Vay ngắn hạn (Thuyết minh số 19)
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Vay ngắn hạn,65.626.163.334,24.948.956.715,,,65626163334.0,24948956715.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Vay dài hạn đến hạn trả,-,6.100.000.000,,,,6100000000.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty liên kết,Vay ngắn hạn,112.330.830.000,112.330.830.000,,,112330830000.0,112330830000.0
,,,,,177.956.993.334,143.379.786.715,,,177956993334.0,143379786715.0
Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Vay dài hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty con,Vay dài hạn,305.672.404.690,-,,,305672404690.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Vay dài hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Vay dài hạn,200.000.000.000,-,,,200000000000.0,
,,,,,505.672.404.690,-,,,505672404690.0,
Phải trả khác (Thuyết minh số 18),Phải trả khác (Thuyết minh số 18),Phải trả khác (Thuyết minh số 18),Phải trả khác (Thuyết minh số 18),Phải trả khác (Thuyết minh số 18),Phải trả khác (Thuyết minh số 18),Phải trả khác (Thuyết minh số 18),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả khác (Thuyết minh số 18) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty con,Phải trả khác,858.000.000,-,,,858000000.0,
,,,,,858.000.000,-,,,858000000.0,
