row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tài sản khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tài sản khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,47.237,938.503,156.679,351,1.142.770,47237.0,938503.0,156679.0,351.0,1142770.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,44.232,7.995,6.951,-,59.178,44232.0,7995.0,6951.0,,59178.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(726),(318),-,-,(1.044),-726.0,-318.0,,,-1044.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,90.743,946.180,163.630,351,1.200.904,90743.0,946180.0,163630.0,351.0,1200904.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,3.195,-,146.276,351,149.822,3195.0,,146276.0,351.0,149822.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,1.215,-,8.270,-,9.485,1215.0,,8270.0,,9485.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(81),-,-,-,(81),-81.0,,,,-81.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,4.329,-,154.546,351,159.226,4329.0,,154546.0,351.0,159226.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,44.042,938.503,10.403,-,992.948,44042.0,938503.0,10403.0,,992948.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,86.414,946.180,9.084,-,1.041.678,86414.0,946180.0,9084.0,,1041678.0
