row_label_raw,row_label_full,col_0,Bàng cán đối kế toán riêng,Bàng cán đối kế toán riêng_1,Ảnh hưởng đến báo cáo kết quả hoạt động kinh doanh riêng,Ảnh hưởng đến báo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bàng cán đối kế toán riêng,numeric__Bàng cán đối kế toán riêng_1,numeric__Ảnh hưởng đến báo cáo kết quả hoạt động kinh doanh riêng,numeric__Ảnh hưởng đến báo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,Năm nayTriệu đồng,Năm trướcTriệu đồng,,,,
Tài sản thuếTNDN hoãn lạiLỗ chênh lệch tỷ giá chưa thực hiện,Tài sản thuếTNDN hoãn lạiLỗ chênh lệch tỷ giá chưa thực hiện,Tài sản thuếTNDN hoãn lạiLỗ chênh lệch tỷ giá chưa thực hiện,-,1.438,(1.438),3.927,,1438.0,-1438.0,3927.0
Dự phòng chứng khoán đầu tư,Dự phòng chứng khoán đầu tư,Dự phòng chứng khoán đầu tư,-,19.800,(19.800),-,,19800.0,-19800.0,
,,,-,21.238,(21.238),3.927,,21238.0,-21238.0,3927.0
Thuế TNDN hoãn lại phải trảLãi chênh lệch tỷ giá chưa thực hiện,Thuế TNDN hoãn lại phải trảLãi chênh lệch tỷ giá chưa thực hiện,Thuế TNDN hoãn lại phải trảLãi chênh lệch tỷ giá chưa thực hiện,(1.585),-,(1.585),-,-1585.0,,-1585.0,
(Chỉ phí)/thu nhập thuế TNDN hoãn lại thuần,(Chỉ phí)/thu nhập thuế TNDN hoãn lại thuần,(Chỉ phí)/thu nhập thuế TNDN hoãn lại thuần,,,(22.823),3.927,,,-22823.0,3927.0
