row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộngTriệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộngTriệu đồng
,,,Trên 3thángTriệu đồng,Đến 3thángTriệu đồng,Dế n1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,2.096.192,-,-,-,-,2.096.192,,,2096192.0,,,,,2096192.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,5.310.253,-,-,-,-,5.310.253,,,5310253.0,,,,,5310253.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,27.831.212,4.803.340,-,-,-,32.634.552,,,27831212.0,4803340.0,,,,32634552.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,51.418,-,508.046,1.633.034,410.878,2.603.376,,,51418.0,,508046.0,1633034.0,410878.0,2603376.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,98.372,112.812,15.879,-,-,227.063,,,98372.0,112812.0,15879.0,,,227063.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,1.214.428,968.539,6.203.789,15.549.719,39.788.740,20.156.131,28.597.590,112.478.936,1214428.0,968539.0,6203789.0,15549719.0,39788740.0,20156131.0,28597590.0,112478936.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,62.259,-,3.073.045,2.217.744,11.960.920,16.172.388,10.757.261,44.243.617,62259.0,,3073045.0,2217744.0,11960920.0,16172388.0,10757261.0,44243617.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,1.074.805,1.074.805,,,,,,,1074805.0,1074805.0
