row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,457.361,155.948,189.364,202.595,10.203,1.015.471,457361.0,155948.0,189364.0,202595.0,10203.0,1015471.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,9.982,9.177,74.293,2.581,600,96.633,9982.0,9177.0,74293.0,2581.0,600.0,96633.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.584),(11.590),(11.099),(333),(51),(25.657),-2584.0,-11590.0,-11099.0,-333.0,-51.0,-25657.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,464.759,153.535,252.558,204.843,10.752,1.086.447,464759.0,153535.0,252558.0,204843.0,10752.0,1086447.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,73.970,123.802,120.085,183.498,7.622,508.977,73970.0,123802.0,120085.0,183498.0,7622.0,508977.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,17.655,11.143,20.792,15.362,967,65.919,17655.0,11143.0,20792.0,15362.0,967.0,65919.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.185),(11.402),(10.824),(316),(51),(24.778),-2185.0,-11402.0,-10824.0,-316.0,-51.0,-24778.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,89.440,123.543,130.053,198.544,8.538,550.118,89440.0,123543.0,130053.0,198544.0,8538.0,550118.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,383.391,32.146,69.279,19.097,2.581,506.494,383391.0,32146.0,69279.0,19097.0,2581.0,506494.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,375.319,29.992,122.505,6.299,2.214,536.329,375319.0,29992.0,122505.0,6299.0,2214.0,536329.0
