row_label_raw,row_label_full,col_0,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Thời hạn định lại lãi suất_6,Thời hạn định lại lãi suất_7,Thời hạn định lại lãi suất_8,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Thời hạn định lại lãi suất_6,numeric__Thời hạn định lại lãi suất_7,numeric__Thời hạn định lại lãi suất_8
,,,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.096.192,-,-,-,-,-,-,2.096.192,,2096192.0,,,,,,,2096192.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,5.310.253,-,-,-,-,-,5.310.253,,,5310253.0,,,,,,5310253.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,27.831.212,4.803.340,-,-,-,-,32.634.552,,,27831212.0,4803340.0,,,,,32634552.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,2.603.376,-,-,-,-,-,-,2.603.376,,2603376.0,,,,,,,2603376.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,227.063,-,-,-,-,-,-,227.063,,227063.0,,,,,,,227063.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.182.967,-,6.203.789,104.092.180,-,-,-,-,112.478.936,2182967.0,,6203789.0,104092180.0,,,,,112478936.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,62.259,2.421.821,2.228.118,3.223.103,3.259.773,11.402.833,16.277.208,5.368.502,44.243.617,62259.0,2421821.0,2228118.0,3223103.0,3259773.0,11402833.0,16277208.0,5368502.0,44243617.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,1.074.805,-,-,-,-,-,-,1.074.805,,1074805.0,,,,,,,1074805.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.578.007,-,-,-,-,-,-,1.578.007,,1578007.0,,,,,,,1578007.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,43.891,2.758.793,652.391,1.166.310,868.596,553.552,134.707,136,6.178.376,43891.0,2758793.0,652391.0,1166310.0,868596.0,553552.0,134707.0,136.0,6178376.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.289.117,12.760.057,42.225.763,113.284.933,4.128.369,11.956.385,16.411.915,5.368.638,208.425.177,2289117.0,12760057.0,42225763.0,113284933.0,4128369.0,11956385.0,16411915.0,5368638.0,208425177.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,7.753.272,158.611,-,-,-,-,7.911.883,,,7753272.0,158611.0,,,,,7911883.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,35.063.032,1.960.800,-,-,2.319.000,115.950,39.458.782,,,35063032.0,1960800.0,,,2319000.0,115950.0,39458782.0
