row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Năm 2023,Năm 2022,numeric__Mã số,numeric__Năm 2023,numeric__Năm 2022
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,34.208.220.731,554.304.614.280,1.0,34208220731.0,554304614280.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
- Khấu hao TSCĐ,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ,- Khấu hao TSCĐ,02,442.784.888,293.906.306,2.0,442784888.0,293906306.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(282.811.116.670),(384.899.918.848),5.0,-282811116670.0,-384899918848.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,120.613.059.548,138.325.484.462,6.0,120613059548.0,138325484462.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,(127.547.051.503),308.024.086.200,8.0,-127547051503.0,308024086200.0
- Tăng các khoản phải thu,2. Điều chỉnh cho các khoản > - Tăng các khoản phải thu,- Tăng các khoản phải thu,09,379.361.237.604,(842.263.486.755),9.0,379361237604.0,-842263486755.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,250.831.490.250,(66.676.438.166),10.0,250831490250.0,-66676438166.0
"- Tăng, giảm khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)","2. Điều chỉnh cho các khoản > - Tăng, giảm khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)","- Tăng, giảm khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)",11,(572.702.003.202),(197.138.894.658),11.0,-572702003202.0,-197138894658.0
