row_label_raw,row_label_full,col_0,Thiết bịvăn phòng,Tổng,numeric__Thiết bịvăn phòng,numeric__Tổng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2023,NGUYÊN GIÁ > Tại ngày 01/01/2023,Tại ngày 01/01/2023,4.098.015.063,4.098.015.063,4098015063.0,4098015063.0
Tại ngày 31/12/2023,NGUYÊN GIÁ > Tại ngày 31/12/2023,Tại ngày 31/12/2023,4.098.015.063,4.098.015.063,4098015063.0,4098015063.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2023,Tại ngày 01/01/2023,3.279.859.438,3.279.859.438,3279859438.0,3279859438.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,370.700.040,370.700.040,370700040.0,370700040.0
Tại ngày 31/12/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2023,Tại ngày 31/12/2023,3.650.559.478,3.650.559.478,3650559478.0,3650559478.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2023,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2023,Tại ngày 01/01/2023,818.155.625,818.155.625,818155625.0,818155625.0
Tại ngày 31/12/2023,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2023,Tại ngày 31/12/2023,447.455.585,447.455.585,447455585.0,447455585.0
Nguyên giá TSCĐ hết khấu hao còn sử dụng,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
