row_label_raw,row_label_full,col_0,Thành lậpvà hoạt,Tỷ lệSở hữu,Quyềnbiểu,Hoạt động chính,numeric__Thành lậpvà hoạt,numeric__Tỷ lệSở hữu,numeric__Quyềnbiểu,numeric__Hoạt động chính
Công ty TNHH Đầu tư Phát triểnĐịa ốc An Pha,Công ty TNHH Đầu tư Phát triểnĐịa ốc An Pha,Công ty TNHH Đầu tư Phát triểnĐịa ốc An Pha,TP HCM,100%,100%,Kinh doanh - môi giới BĐS,,1.0,1.0,
Công ty TNHH Đầu tư Kinhdoanh Địa ốc An Thịnh Phát,Công ty TNHH Đầu tư Kinhdoanh Địa ốc An Thịnh Phát,Công ty TNHH Đầu tư Kinhdoanh Địa ốc An Thịnh Phát,TP HCM,100%,100%,Kinh doanh - môi giới BĐS,,1.0,1.0,
