row_label_raw,row_label_full,STT,Loại hình,Tên rút gọn,Địa chỉ,numeric__Loại hình,numeric__Tên rút gọn,numeric__Địa chỉ
1.,1.,1.,Chi nhánh,Mỹ Toàn 1,"Số 1479 Nguyễn Văn Linh, KP Mỹ Toàn 1 – H3, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
2.,2.,2.,Chi nhánh,Nguyễn Hữu Cảnh 2,"Lầu 1+2, số 280A4 Lương Định Của, P. An Phú, Quận 2, Tp. Thủ Đức, Tp. Hồ Chí Minh",,,
3.,3.,3.,Chi nhánh,Kim Sơn,"Lầu 1 - B8 Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
4.,4.,4.,Chi nhánh,Him Lam,"B10-B11 Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
5.,5.,5.,Chi nhánh,Phú Mỹ Hưng,"Số 970 Nguyễn Văn Linh, Khu Mỹ Toàn 3, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
6.,6.,6.,Chi nhánh,Nguyễn Hữu Thọ,"Lầu 2 - B8 Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
7.,7.,7.,Chi nhánh,Thử Thiêm 2,"Lầu 1 Số 1H Trần Não, P. An Phú, Quận 2, TP. Thủ Đức, Tp. Hồ Chí Minh",,,
8.,8.,8.,Chi nhánh,Sala 2,"Số 3 Đường số 10, SH07-2 Khu đỏ thị Sala - Đại Quang Minh, Phường An Lợi, Tp. Thủ Đức, Tp. Hồ Chí Minh",,,
9.,9.,9.,Chi nhánh,Q7,"B9 Nguyễn Hữu Thọ, Khu dân cư Kim Sơn, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
10.,10.,10.,Chi nhánh,Tân Phú,"Số 90C Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp. Hồ Chí Minh",,,
11.,11.,11.,Chi nhánh,Diamond Island,"S10.03 phân khu The Origami, Vinhomes Grand Park, phường Long Bình, Tp. Thủ Đức",,,
12.,12.,12.,Chi nhánh,Thủ Đức,"Số 68 Đường Số 27, KP5, Phường Hiệp Bình Chánh, Thủ Đức, Tp. Hồ Chí Minh",,,
13.,13.,13.,Văn phòng đại diện Miền Bắc,Hà Nội,"Số 77 Trần Khát Chân, P. Thanh Lương, Quận Hai Bà Trưng, Tp. Hà Nội",,,
14.,14.,14.,Chi nhánh,Tân Hưng,"B12-13 KDC Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TPp Hồ Chí Minh",,,
15.,15.,15.,Chi nhánh,Tôn Đức Thắng,"B14 KDC Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
16.,16.,16.,Chi nhánh,Thảo Điền,"Số 193 Nguyễn Hoàng, Phường An Phú, Quận 2, Tp. Hồ Chí Minh",,,
17.,17.,17.,Chi nhánh,Mỹ Khánh,"Số 1411 Nguyễn Văn Linh, Khu Phó Mỹ Toàn 2, P. Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
18.,18.,18.,Chi nhánh,Lương Định Của,"Lầu 3 ,280A4 Lương Định Của, P. An Phú, Quận 2, TP. Thủ Đức, Tp. Hồ Chí Minh",,,
19.,19.,19.,Chi nhánh,Phú Hưng,"B12-13-14 KDC Kim Sơn, Nguyễn Hữu Thọ, P. Tân Phong, Quận 7, Tp. Hồ Chí Minh",,,
20.,20.,20.,Chi nhánh,Thủ Đức 2,"Lầu 2 Số 1H Trần Não, P. An Phú, Quận 2, TP. Thủ Đức, Tp. Hồ Chí Minh.",,,
