row_label_raw,row_label_full,Ông Nguyễn Khải Hoàn,Chủ tịch,numeric__Chủ tịch
Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Phó chủ tịch,
Ông Võ Công Sơn,Ông Võ Công Sơn,Ông Võ Công Sơn,Thành viên (miễn nhiệm ngày 15/09/2023),
Ông Phùng Quang Hải,Ông Phùng Quang Hải,Ông Phùng Quang Hải,Thành viên,
Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Thành viên,
Ông Trần Mạnh Toàn,Ông Trần Mạnh Toàn,Ông Trần Mạnh Toàn,Thành viên độc lập,
Bà Phạm Thị Hòa,Bà Phạm Thị Hòa,Bà Phạm Thị Hòa,Thành viên độc lập,
