row_label_raw,row_label_full,Trả tiền vay,-,333.400.000.000,numeric__-,numeric__333.400.000.000
Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,-,61.700.000.000,,61700000000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,-,86.700.000.000,,86700000000.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,210.000.000.000,185.000.000.000,210000000000.0,185000000000.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,2.696.118.491,-,2696118491.0,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,1.429.547.945,-,1429547945.0,
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,1.171.804.793,-,1171804793.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,94.765.753,-,94765753.0,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,3.093.479.453,13.213.195.889,3093479453.0,13213195889.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,3.093.479.453,9.317.095.889,3093479453.0,9317095889.0
Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,-,3.638.771.233,,3638771233.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,-,257.328.767,,257328767.0
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,104.712.120.363,30.961.860.080,104712120363.0,30961860080.0
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,5.737.500.000,5.737.500.000,5737500000.0,5737500000.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,92.854.620.363,20.634.360.080,92854620363.0,20634360080.0
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,6.120.000.000,4.590.000.000,6120000000.0,4590000000.0
Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,-,1.266.080.000.000,,1266080000000.0
Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,-,386.980.000.000,,386980000000.0
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,-,10.200.000.000,,10200000000.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,-,562.500.000.000,,562500000000.0
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,-,20.400.000.000,,20400000000.0
Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,-,270.000.000.000,,270000000000.0
Công ty CP Đầu tư và Phát triển Nam Cần Thơ,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,-,16.000.000.000,,16000000000.0
c) Số dư với các bên liên quan,c) Số dư với các bên liên quan,c) Số dư với các bên liên quan,31/12/2020,01/01/2020,,
,,,VND,VND,,
Phải thu của khách hàng,c) Số dư với các bên liên quan > Phải thu của khách hàng,Phải thu của khách hàng,7.749.989.712,25.644.464.532,7749989712.0,25644464532.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,c) Số dư với các bên liên quan > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,2.514.634.028,2.332.931.736,2514634028.0,2332931736.0
Công ty CP Đầu tư và Phát triển Phú Quốc,c) Số dư với các bên liên quan > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,-,11.119.647.650,,11119647650.0
Công ty CP Du lịch C.E.O,c) Số dư với các bên liên quan > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,-,615.432.722,,615432722.0
Công ty CP Xây dựng C.E.O,c) Số dư với các bên liên quan > Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,8.098.279,-,8098279.0,
