row_label_raw,row_label_full,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,02,-,03,numeric__02,numeric__-,numeric__03
BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,04,-,05,4.0,,5.0
BẢNG CÂN ĐỐI KÊ TOÁN,BẢNG CÂN ĐỐI KÊ TOÁN,BẢNG CÂN ĐỐI KÊ TOÁN,06,-,07,6.0,,7.0
BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,,08,,,8.0,
BÁO CÁO LUÙ CHUYÊN TIỀN TỆ,BÁO CÁO LUÙ CHUYÊN TIỀN TỆ,BÁO CÁO LUÙ CHUYÊN TIỀN TỆ,09,-,10,9.0,,10.0
BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH,11,-,46,11.0,,46.0
