row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2020,Đơn vị tính: VND01/01/2020,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020,numeric__Đơn vị tính: VND01/01/2020
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,1.088.547.420.049,949.784.249.876,100.0,,1088547420049.0,949784249876.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,,31.887.647.482,26.372.910.676,110.0,,31887647482.0,26372910676.0
1. Tiền,1. Tiền,1. Tiền,111,V.1.,31.887.647.482,26.372.910.676,111.0,,31887647482.0,26372910676.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,V.2.,315.000.000.000,181.000.000.000,120.0,,315000000000.0,181000000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,315.000.000.000,181.000.000.000,123.0,,315000000000.0,181000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,477.373.179.504,285.267.254.299,130.0,,477373179504.0,285267254299.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.3.,113.026.683.448,255.593.573.985,131.0,,113026683448.0,255593573985.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,V.4.,19.284.362.150,26.984.079.497,132.0,,19284362150.0,26984079497.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,V.5.,306.050.000.000,-,135.0,,306050000000.0,
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,V.6.,49.404.915.861,18.446.670.618,136.0,,49404915861.0,18446670618.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,,(10.392.781.955),(15.757.069.801),137.0,,-10392781955.0,-15757069801.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,256.640.994.303,451.809.337.898,140.0,,256640994303.0,451809337898.0
