row_label_raw,row_label_full,"CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội_1","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội_2","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội_3","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội_4",BÁO CÁO TÀI CHÍNHCho năm tài chính kết thúc ngày 31/12/2020,"numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội_1","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội_2","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội_3","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội_4",numeric__BÁO CÁO TÀI CHÍNHCho năm tài chính kết thúc ngày 31/12/2020
Mẫu số B 09 - DN,Mẫu số B 09 - DN,Mẫu số B 09 - DN,Mẫu số B 09 - DN,Mẫu số B 09 - DN,Mẫu số B 09 - DN,Mẫu số B 09 - DN,Mẫu số B 09 - DN,,,,,
BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),,,,,
8. Tăng giảm tài sản cố định hữu hình,8. Tăng giảm tài sản cố định hữu hình,8. Tăng giảm tài sản cố định hữu hình,8. Tăng giảm tài sản cố định hữu hình,8. Tăng giảm tài sản cố định hữu hình,8. Tăng giảm tài sản cố định hữu hình,8. Tăng giảm tài sản cố định hữu hình,8. Tăng giảm tài sản cố định hữu hình,,,,,
Khoản mục,Khoản mục,Khoản mục,"Nhà cửa,vật kiến trúc",Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản cố địnhkhác,Đơn vị tính: VNDCộng,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư ngày 01/01/2020,Nguyên giá > Số dư ngày 01/01/2020,Số dư ngày 01/01/2020,26.928.094.277,12.703.956.363,3.197.496.366,1.550.417.005,44.379.964.011,26928094277.0,12703956363.0,3197496366.0,1550417005.0,44379964011.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,246.763.636,-,246.763.636,,,246763636.0,,246763636.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,103.616.364,-,-,-,103.616.364,103616364.0,,,,103616364.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.170.654.545),(168.228.001),-,(1.338.882.546),,-1170654545.0,-168228001.0,,-1338882546.0
Số dư ngày 31/12/2020,Nguyên giá > Số dư ngày 31/12/2020,Số dư ngày 31/12/2020,27.031.710.641,11.533.301.818,3.276.032.001,1.550.417.005,43.391.461.465,27031710641.0,11533301818.0,3276032001.0,1550417005.0,43391461465.0
