row_label_raw,row_label_full,"CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 31/12/2020VND > Giá gốc > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 31/12/2020VND > Dự phòng > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 31/12/2020VND > Giá trị ghi sổ > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 01/01/2020VND > Giá gốc > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 01/01/2020VND > Dự phòng > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 01/01/2020VND > Giá trị ghi sổ > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 31/12/2020VND > Giá gốc > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 31/12/2020VND > Dự phòng > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 31/12/2020VND > Giá trị ghi sổ > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 01/01/2020VND > Giá gốc > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 01/01/2020VND > Dự phòng > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, Hà Nội > 01/01/2020VND > Giá trị ghi sổ > b) Đầu tư góp vốn vào đơn vị khác Đầu tư vào công ty con"
Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,353.919.980.000,-,353.919.980.000,353.919.980.000,-,353.919.980.000,353919980000.0,,353919980000.0,353919980000.0,,353919980000.0
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,51.000.000.000,-,51.000.000.000,51.000.000.000,-,51.000.000.000,51000000000.0,,51000000000.0,51000000000.0,,51000000000.0
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,33.150.000.000,-,33.150.000.000,33.150.000.000,-,33.150.000.000,33150000000.0,,33150000000.0,33150000000.0,,33150000000.0
Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,176.900.000.000,(22.674.123.417),154.225.876.583,176.900.000.000,(17.399.873.800),159.500.126.200,176900000000.0,-22674123417.0,154225876583.0,176900000000.0,-17399873800.0,159500126200.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,306.029.000.000,(107.023.320.280),199.005.679.720,306.029.000.000,-,306.029.000.000,306029000000.0,-107023320280.0,199005679720.0,306029000000.0,,306029000000.0
Công ty CP Đầu tư BMC - CEO,Công ty CP Đầu tư BMC - CEO,Công ty CP Đầu tư BMC - CEO,17.900.000.000,(121.339.465),17.778.660.535,17.900.000.000,(117.833.873),17.782.166.127,17900000000.0,-121339465.0,17778660535.0,17900000000.0,-117833873.0,17782166127.0
Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,10.200.000.000,(3.946.339.715),6.253.660.285,10.200.000.000,(3.401.587.971),6.798.412.029,10200000000.0,-3946339715.0,6253660285.0,10200000000.0,-3401587971.0,6798412029.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,225.181.028.803,-,225.181.028.803,225.181.028.803,-,225.181.028.803,225181028803.0,,225181028803.0,225181028803.0,,225181028803.0
Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,446.604.100.000,-,446.604.100.000,446.604.100.000,-,446.604.100.000,446604100000.0,,446604100000.0,446604100000.0,,446604100000.0
Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,20.000.000.000,-,20.000.000.000,20.000.000.000,-,20.000.000.000,20000000000.0,,20000000000.0,20000000000.0,,20000000000.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,757.500.000.000,(12.199.824.133),745.300.175.867,757.500.000.000,(16.026.663.600),741.473.336.400,757500000000.0,-12199824133.0,745300175867.0,757500000000.0,-16026663600.0,741473336400.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,4.418.620.211,(959.731.488),3.458.888.723,4.418.620.211,(2.214.322.157),2.204.298.054,4418620211.0,-959731488.0,3458888723.0,4418620211.0,-2214322157.0,2204298054.0
Công ty CP Đầu tư và Phát triển Nam Cần Thơ,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,-,-,-,16.650.000.000,-,16.650.000.000,,,,16650000000.0,,16650000000.0
Cộng,Cộng,Cộng,2.402.802.729.014,(146.924.678.498),2.255.878.050.516,2.419.452.729.014,(39.160.281.401),2.380.292.447.613,2402802729014.0,-146924678498.0,2255878050516.0,2419452729014.0,-39160281401.0,2380292447613.0
