row_label_raw,row_label_full,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,2.553.224.704,-,numeric__2.553.224.704,numeric__-
Công ty CP Du Lịch C.E.O,Công ty CP Du Lịch C.E.O,Công ty CP Du Lịch C.E.O,4.219.160,-,4219160.0,
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,17.453.456,-,17453456.0,
Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,9.044.860,-,9044860.0,
Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,1.432.970,-,1432970.0,
Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,563.750,-,563750.0,
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,4.397.360,-,4397360.0,
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,535.516.503,38.563.000,535516503.0,38563000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,221.580.875,154.068.942,221580875.0,154068942.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,12.981.686.316,4.025.244.440,12981686316.0,4025244440.0
Công ty CP Du Lịch C.E.O,Công ty CP Du Lịch C.E.O,Công ty CP Du Lịch C.E.O,17.615.000,939.554.265,17615000.0,939554265.0
Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,17.600.000,52.800.000,17600000.0,52800000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,5.193.498,6.516.000,5193498.0,6516000.0
Công ty TNHH Dịch vụ chăm sóc sức khỏe cộng đồng C.E.O,Công ty TNHH Dịch vụ chăm sóc sức khỏe cộng đồng C.E.O,Công ty TNHH Dịch vụ chăm sóc sức khỏe cộng đồng C.E.O,7.650.671.787,14.845.000,7650671787.0,14845000.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,2.433.651.596,267.105.569,2433651596.0,267105569.0
Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,2.856.954.435,2.744.423.606,2856954435.0,2744423606.0
Phải trả khác,Phải trả khác,Phải trả khác,-,6.536.958.902,,6536958902.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,-,6.536.958.902,,6536958902.0
Vay,Vay,Vay,-,210.000.000.000,,210000000000.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,-,210.000.000.000,,210000000000.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,85.730.880,-,85730880.0,
Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,85.730.880,-,85730880.0,
