row_label_raw,row_label_full,Thuế thu nhập doanh nghiệp (Thuyết minh số 30.2),Số đầu năm > 3.797.206.466,Số phải nộp trong kỳ > 7.297.022.931,Số đã nộp trong kỳ > 8.905.613.594,VND Số cuối năm > 2.188.615.803,numeric__Số đầu năm > 3.797.206.466,numeric__Số phải nộp trong kỳ > 7.297.022.931,numeric__Số đã nộp trong kỳ > 8.905.613.594,numeric__VND Số cuối năm > 2.188.615.803
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,51.165.196,1.387.440.623,1.380.387.029,58.218.790,51165196.0,1387440623.0,1380387029.0,58218790.0
Thuế GTGT,Thuế GTGT,Thuế GTGT,334.366.740,-,-,334.366.740,334366740.0,,,334366740.0
Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,-,91.980.000,91.980.000,-,,91980000.0,91980000.0,
Thuế môn bài,Thuế môn bài,Thuế môn bài,,3.000.000,3.000.000,-,,3000000.0,3000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.182.738.402,8.779.443.554,10.380.980.623,2.581.201.333,4182738402.0,8779443554.0,10380980623.0,2581201333.0
