row_label_raw,row_label_full,col_0,Nhà cửavà vật kiến trúc,Máy mócthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncó định khác,VNDTổng cộng,numeric__Nhà cửavà vật kiến trúc,numeric__Máy mócthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,11.047.279.836,34.079.999,16.712.314.669,1.640.430.787,334.954.547,29.769.059.838,11047279836.0,34079999.0,16712314669.0,1640430787.0,334954547.0,29769059838.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,9.456.240.083,4.007.767.676,8.672.549.545,44.090.909,-,22.180.648.213,9456240083.0,4007767676.0,8672549545.0,44090909.0,,22180648213.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206.666.666),-,(705.294.000),-,-,(911.960.666),-206666666.0,,-705294000.0,,,-911960666.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,20.296.853.253,4.041.847.675,24.679.570.214,1.684.521.696,334.954.547,51.037.747.385,20296853253.0,4041847675.0,24679570214.0,1684521696.0,334954547.0,51037747385.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,422.984.819,34.080.000,3.456.041.143,1.417.947.361,271.318.182,5.602.371.505,422984819.0,34080000.0,3456041143.0,1417947361.0,271318182.0,5602371505.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(4.000.471.031),(34.079.999),(10.757.968.987),(1.533.224.938),(285.106.064),(16.610.851.019),-4000471031.0,-34079999.0,-10757968987.0,-1533224938.0,-285106064.0,-16610851019.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(3.712.169.337),(1.077.755.524),(1.501.582.331),(45.942.856),(12.727.272),(6.350.177.320),-3712169337.0,-1077755524.0,-1501582331.0,-45942856.0,-12727272.0,-6350177320.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",70.857.143,-,705.294.000,-,-,776.151.143,70857143.0,,705294000.0,,,776151143.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(7.641.783.225),(1.111.835.523),(11.554.257.318),(1.579.167.794),(297.833.336),(22.184.877.196),-7641783225.0,-1111835523.0,-11554257318.0,-1579167794.0,-297833336.0,-22184877196.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,7.046.808.805,-,5.954.345.682,107.205.849,49.848.483,13.158.208.819,7046808805.0,,5954345682.0,107205849.0,49848483.0,13158208819.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,12.655.070.028,2.930.012.152,13.125.312.896,105.353.902,37.121.211,28.852.870.189,12655070028.0,2930012152.0,13125312896.0,105353902.0,37121211.0,28852870189.0
Trong đó:Tải sản sử dụng đểthé chấp (Thuyếtminh số 22.1),Giá trị còn lại: > Trong đó:Tải sản sử dụng đểthé chấp (Thuyếtminh số 22.1),Trong đó:Tải sản sử dụng đểthé chấp (Thuyếtminh số 22.1),12.331.237.145,-,-,-,-,12.331.237.145,12331237145.0,,,,,12331237145.0
