row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận su thuế chuaphân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận su thuế chuaphân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm (Đã trình bày trước đây),Năm trước > Số đầu năm (Đã trình bày trước đây),Số đầu năm (Đã trình bày trước đây),1.429.955.870.000,744.048.581.707,75.286.816.176,75.286.816.177,150.603.905.893,2.475.181.989.953,1429955870000.0,744048581707.0,75286816176.0,75286816177.0,150603905893.0,2475181989953.0
Ảnh hưởng của việc trình bày lại (Thuyết minh số 33),Năm trước > Ảnh hưởng của việc trình bày lại (Thuyết minh số 33),Ảnh hưởng của việc trình bày lại (Thuyết minh số 33),-,-,-,-,5.183.663.063,5.183.663.063,,,,,5183663063.0,5183663063.0
Số đầu năm (đã điều chỉnh lại),Năm trước > Số đầu năm (đã điều chỉnh lại),Số đầu năm (đã điều chỉnh lại),1.429.955.870.000,744.048.581.707,75.286.816.176,75.286.816.177,155.787.568.956,2.480.365.653.016,1429955870000.0,744048581707.0,75286816176.0,75286816177.0,155787568956.0,2480365653016.0
Thường cổ phiếu và chia cổ tức bằng cổ phiếu,Năm trước > Thường cổ phiếu và chia cổ tức bằng cổ phiếu,Thường cổ phiếu và chia cổ tức bằng cổ phiếu,357.480.330.000,(357.480.330.000),-,-,-,-,357480330000.0,-357480330000.0,,,,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,49.579.751.735,49.579.751.735,,,,,49579751735.0,49579751735.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,2.073.772.463,2.073.772.463,(10.827.544.926),(6.680.000.000),,,2073772463.0,2073772463.0,-10827544926.0,-6680000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.787.436.200.000,386.568.251.707,77.360.588.639,77.360.588.640,194.539.775.765,2.523.265.404.751,1787436200000.0,386568251707.0,77360588639.0,77360588640.0,194539775765.0,2523265404751.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm (Đã trình bày trước đây),Năm nay > Số đầu năm (Đã trình bày trước đây),Số đầu năm (Đã trình bày trước đây),1.787.436.200.000,386.568.251.707,77.360.588.639,77.360.588.640,184.773.236.712,2.513.498.865.698,1787436200000.0,386568251707.0,77360588639.0,77360588640.0,184773236712.0,2513498865698.0
Ảnh hưởng của việc trình bày lại (Thuyết minh số 33),Năm nay > Ảnh hưởng của việc trình bày lại (Thuyết minh số 33),Ảnh hưởng của việc trình bày lại (Thuyết minh số 33),-,-,77.360.588.640,(77.360.588.640),9.766.539.053,9.766.539.053,,,77360588640.0,-77360588640.0,9766539053.0,9766539053.0
Số đầu năm (đã điều chỉnh lại),Năm nay > Số đầu năm (đã điều chỉnh lại),Số đầu năm (đã điều chỉnh lại),1.787.436.200.000,386.568.251.707,154.721.177.279,-,194.539.775.765,2.523.265.404.751,1787436200000.0,386568251707.0,154721177279.0,,194539775765.0,2523265404751.0
Phát hành cổ phiếu tăng vốn,Năm nay > Phát hành cổ phiếu tăng vốn,Phát hành cổ phiếu tăng vốn,199.000.000.000,10.070.000.000,-,-,-,209.070.000.000,199000000000.0,10070000000.0,,,,209070000000.0
Phát hành cổ phiếu thường,Năm nay > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,158.901.730.000,(158.901.730.000),-,-,-,-,158901730000.0,-158901730000.0,,,,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,17.305.733.737,17.305.733.737,,,,,17305733737.0,17305733737.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,4.499.687.574,-,(11.179.687.574),(6.680.000.000),,,4499687574.0,,-11179687574.0,-6680000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.145.337.930.000,237.736.521.707,159.220.864.853,-,200.665.821.928,2.742.961.138.488,2145337930000.0,237736521707.0,159220864853.0,,200665821928.0,2742961138488.0
