row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Đã trình bày lại – Thuyết minh số 33),numeric__Năm nay,numeric__VNDNăm trước(Đã trình bày lại – Thuyết minh số 33)
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,7.297.022.931,10.741.550.384,7297022931.0,10741550384.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,3.473.083.104,1.292.606.048,3473083104.0,1292606048.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.770.106.035,12.034.156.432,10770106035.0,12034156432.0
