row_label_raw,row_label_full,Đối tác,Nội dung,Phân chia lợi nhuận,Số cuối năm,Số đầu năm,numeric__Nội dung,numeric__Phân chia lợi nhuận,numeric__Số cuối năm,numeric__Số đầu năm
Công ty Cổ phần Đầu tư Xây dựng ATA,Công ty Cổ phần Đầu tư Xây dựng ATA,Công ty Cổ phần Đầu tư Xây dựng ATA,Phát triển dự án khu dân cư Phú Mỹ,80%,84.318.359.768,80.000.000.000,,0.8,84318359768.0,80000000000.0
Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Phát triển Khu Công nghiệp Xuân Thới Thương,40%,3.000.000.000,3.000.000.000,,0.4,3000000000.0,3000000000.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Phát triển dự án khu dân cư Hiệp Phước – Nhơn Trạch,-,-,10.384.087.514,,,,10384087514.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,87.318.359.768,93.384.087.514,,,87318359768.0,93384087514.0
