row_label_raw,row_label_full,Tên công ty con,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty con,Tên công ty con,Tên công ty con,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,,,,,
Công ty Cổ phần Vật liệu Xây dựng DIC,Tên công ty con > Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty Cổ phần Vật liệu Xây dựng DIC,"96,36",84.135.660.000,(38.232.194.195),"94,77",83.399.820.000,(38.049.463.638),96.36,84135660000.0,-38232194195.0,94.77,83399820000.0,-38049463638.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Tên công ty con > Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,"98,00",75.902.432.291,(4.812.604.369),"87,80",70.850.302.147,(4.061.430.024),98.0,75902432291.0,-4812604369.0,87.8,70850302147.0,-4061430024.0
Công ty Cổ phần Du lịch và Thương mại DIC,Tên công ty con > Công ty Cổ phần Du lịch và Thương mại DIC,Công ty Cổ phần Du lịch và Thương mại DIC,"68,58",75.389.000.000,-,"68,58",75.389.000.000,-,68.58,75389000000.0,,68.58,75389000000.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng sản Miền Trung,Tên công ty con > Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng sản Miền Trung,Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng sản Miền Trung,"68,96",20.360.390.000,(12.286.307.710),"64,75",19.857.940.000,(12.005.898.270),68.96,20360390000.0,-12286307710.0,64.75,19857940000.0,-12005898270.0
Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông(*),Tên công ty con > Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông(*),Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông(*),"91,05",16.087.080.000,(16.087.080.000),-,-,-,91.05,16087080000.0,-16087080000.0,,,
Công ty Cổ phần Sông Đà DIC,Tên công ty con > Công ty Cổ phần Sông Đà DIC,Công ty Cổ phần Sông Đà DIC,"55,00",11.000.000.000,(6.648.369.929),"55,00",11.000.000.000,(6.648.369.929),55.0,11000000000.0,-6648369929.0,55.0,11000000000.0,-6648369929.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Tên công ty con > Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,"51,67",7.751.000.000,(3.794.150.500),"51,67",7.751.000.000,(5.465.821.630),51.67,7751000000.0,-3794150500.0,51.67,7751000000.0,-5465821630.0
Công ty Trách nhiệm hữu hạn Thương mại,Công ty Trách nhiệm hữu hạn Thương mại,Công ty Trách nhiệm hữu hạn Thương mại,,,,,,,,,,,,
Dịch vụ DIC(**),Công ty Trách nhiệm hữu hạn Thương mại > Dịch vụ DIC(**),Dịch vụ DIC(**),-,-,-,"100,00",10.000.000.000,(4.782.539.816),,,,100.0,10000000000.0,-4782539816.0
TỔNG CỘNG,Công ty Trách nhiệm hữu hạn Thương mại > TỔNG CỘNG,TỔNG CỘNG,,290.625.562.291,(81.860.706.703),,278.248.062.147,(71.013.523.307),,290625562291.0,-81860706703.0,,278248062147.0,-71013523307.0
