row_label_raw,row_label_full,col_0,Số đầu năm(đã được trình bày trước đây),Ảnh hưởng củaphân loại lại,VNDSố đầu năm(được trình bày lại),numeric__Số đầu năm(đã được trình bày trước đây),numeric__Ảnh hưởng củaphân loại lại,numeric__VNDSố đầu năm(được trình bày lại)
BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG,,,
Chứng khoán kinh doanh,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,29.857.641.449,29.857.641.449,,29857641449.0,29857641449.0
Dự phòng giảm giá đầu tư ngắn hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Dự phòng giảm giá đầu tư ngắn hạn,Dự phòng giảm giá đầu tư ngắn hạn,-,(10.222.896.249),(10.222.896.249),,-10222896249.0,-10222896249.0
Phải thu khách hàng ngắn hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,688.102.044.862,(190.303.070.323),497.798.974.539,688102044862.0,-190303070323.0,497798974539.0
Các khoản cho vay ngắn hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,-,6.693.293.000,6.693.293.000,,6693293000.0,6693293000.0
Các khoản phải thu ngắn hạn khác,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,154.323.093.651,(56.804.498.553),97.518.595.098,154323093651.0,-56804498553.0,97518595098.0
Hàng tồn kho,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Hàng tồn kho,Hàng tồn kho,2.050.231.835.107,(126.880.373.221),1.923.351.461.886,2050231835107.0,-126880373221.0,1923351461886.0
Chi phí trả trước ngắn hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,8.847.640.438,390.577.840,9.238.218.278,8847640438.0,390577840.0,9238218278.0
Tài sản ngắn hạn khác,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,20.180.066.150,(20.180.066.150),-,20180066150.0,-20180066150.0,
Phải thu dài hạn của khách hàng,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,2.576.551.985,141.247.032.629,143.823.584.614,2576551985.0,141247032629.0,143823584614.0
Phải thu về cho vay dài hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,70.291.271.703,70.291.271.703,,70291271703.0,70291271703.0
Các khoản phải thu dài hạn khác,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Các khoản phải thu dài hạn khác,Các khoản phải thu dài hạn khác,-,142.440.125.208,142.440.125.208,,142440125208.0,142440125208.0
"Đầu tư vào công ty liên kết, liên doanh","BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Đầu tư vào công ty liên kết, liên doanh","Đầu tư vào công ty liên kết, liên doanh",942.564.241.545,(93.384.087.514),849.180.154.031,942564241545.0,-93384087514.0,849180154031.0
Đầu tư dài hạn khác,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Đầu tư dài hạn khác,Đầu tư dài hạn khác,213.845.984.869,(31.857.641.449),181.988.343.420,213845984869.0,-31857641449.0,181988343420.0
Dự phòng giảm giá đầu tư tài chính dài hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(142.674.869.595),10.222.896.249,(132.451.973.346),-142674869595.0,10222896249.0,-132451973346.0
Đầu tư nằm giữ đến ngày đáo hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,-,2.000.000.000,2.000.000.000,,2000000000.0,2000000000.0
Chi phí trả trước dài hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,20.904.225.089,(14.433.176.022),6.471.049.067,20904225089.0,-14433176022.0,6471049067.0
Doanh thu chưa thực hiện ngắn hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,-,3.374.235.992,3.374.235.992,,3374235992.0,3374235992.0
Doanh thu chưa thực hiện dài hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,-,144.810.931.308,144.810.931.308,,144810931308.0,144810931308.0
Doanh thu chưa thực hiện,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,148.185.167.300,(148.185.167.300),-,148185167300.0,-148185167300.0,
Vay và nợ dài hạn,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Vay và nợ dài hạn,Vay và nợ dài hạn,1.170.961.594.043,(14.042.598.182),1.156.918.995.861,1170961594043.0,-14042598182.0,1156918995861.0
Quỹ đầu tư phát triển,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,77.360.588.639,77.360.588.640,154.721.177.279,77360588639.0,77360588640.0,154721177279.0
Quỹ dự phòng tài chính,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,77.360.588.640,(77.360.588.640),-,77360588640.0,-77360588640.0,
Nguyễn giá bất động sản đầu tư,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Nguyễn giá bất động sản đầu tư,Nguyễn giá bất động sản đầu tư,-,144.455.832.878,144.455.832.878,,144455832878.0,144455832878.0
Giá trị hao mòn lũy kế bất động sản đầu tư,BẢNG CẦN ĐỒI KẾ TOẤN RIÊNG > Giá trị hao mòn lũy kế bất động sản đầu tư,Giá trị hao mòn lũy kế bất động sản đầu tư,-,(17.575.459.657),(17.575.459.657),,-17575459657.0,-17575459657.0
,,,Năm trước(dã được trình bày trước đây),Ảnh hưởng củaphân loại lại,Năm trước(được trình bày lại),,,
