row_label_raw,row_label_full,Ngân hàng > Ngân hàng Thương mạiCổ phần Đầu tư và Phát triển Việt Nam –Chínhánh tỉnh Bà Rịa – Vũng Tàu > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh tỉnh Đồng Nai > Ngân hàng Thương mạiCổ phần Phát triển Thành phố Hồ Chí Minh – Chi nhánh Vũng Tàu,Số cuối nămVND > 14.896.542.941 > 192.586.092.340 > 104.539.883.450,"Kỳ hạn trả gốc và lãi > Nợ gốc được trả từ ngày 3 tháng 3 năm 2016 đến ngày 17 tháng 11 năm 2016Lãi vay được trả vào ngày 23 hàng tháng > Nợ gốc được trả từ ngày 31 tháng 3 năm 2016 đến ngày 30 tháng 9 năm 2016Lãi vay được trả vào ngày cuối mỗi quỹ > Thời gian ăn hạn gốc: 06 tháng kể từ ngày Bên vay nhận tiền vay lần đầu tiên, tức ngày 21 tháng 6 năm 2013Nợ gốc được trả từ ngày 21 tháng 3 năm 2016 đến ngày 21 tháng 6 năm 2016Thời gian trả lãi: hàng quý, kể từ ngày bên vay nhận tiền vay lần đầu","Lãi suất(%/năm) > 9-10 > 10 > 10,6","Hình thức đảm bảo > Giấy chứng nhận quyền sử dụng đất số AD 079614, và tài sản trên đất tại phường 5, Thành phố Vũng TàuVăn phòng làm việc Công ty tại 265 đường Lê Hồng PhongPhường 8,Thành phố Vũng Tàu > Giấy chứng nhận quyền sử dụng đất các lô đất tại khu du lịch sinh thái Đại Phước, Huyện Nhơn Trạch, Tĩnh Đồng Nai > Giấy chứng nhận quyền sử dụng đất số AD 079616, Phường 5, Thành phố Vũng Tàu.",numeric__Số cuối nămVND > 14.896.542.941 > 192.586.092.340 > 104.539.883.450,"numeric__Kỳ hạn trả gốc và lãi > Nợ gốc được trả từ ngày 3 tháng 3 năm 2016 đến ngày 17 tháng 11 năm 2016Lãi vay được trả vào ngày 23 hàng tháng > Nợ gốc được trả từ ngày 31 tháng 3 năm 2016 đến ngày 30 tháng 9 năm 2016Lãi vay được trả vào ngày cuối mỗi quỹ > Thời gian ăn hạn gốc: 06 tháng kể từ ngày Bên vay nhận tiền vay lần đầu tiên, tức ngày 21 tháng 6 năm 2013Nợ gốc được trả từ ngày 21 tháng 3 năm 2016 đến ngày 21 tháng 6 năm 2016Thời gian trả lãi: hàng quý, kể từ ngày bên vay nhận tiền vay lần đầu","numeric__Lãi suất(%/năm) > 9-10 > 10 > 10,6","numeric__Hình thức đảm bảo > Giấy chứng nhận quyền sử dụng đất số AD 079614, và tài sản trên đất tại phường 5, Thành phố Vũng TàuVăn phòng làm việc Công ty tại 265 đường Lê Hồng PhongPhường 8,Thành phố Vũng Tàu > Giấy chứng nhận quyền sử dụng đất các lô đất tại khu du lịch sinh thái Đại Phước, Huyện Nhơn Trạch, Tĩnh Đồng Nai > Giấy chứng nhận quyền sử dụng đất số AD 079616, Phường 5, Thành phố Vũng Tàu."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,312.022.518.731,,,,312022518731.0,,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,231.512.635.28180.509.883.450,,,,2.315126352818051e+22,,,
