row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Đã trình bày lại – Thuyết minh số 33),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã trình bày lại – Thuyết minh số 33)
300,300,300,C. NỘ PHẢI TRẢ,,2.024.535.785.729,2.232.908.474.633,,,2024535785729.0,2232908474633.0
310,310,310,I. Nợ ngắn hạn,,797.082.349.401,917.964.003.277,,,797082349401.0,917964003277.0
311,311,311,1. Phải trả người bán ngắn hạn,16,51.039.701.999,79.206.968.063,,16.0,51039701999.0,79206968063.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,17,271.102.830.373,224.195.715.671,,17.0,271102830373.0,224195715671.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,2.581.201.333,4.182.738.402,,18.0,2581201333.0,4182738402.0
314,314,314,4. Phải trả người lao động,,5.469.621.253,4.936.693.397,,,5469621253.0,4936693397.0
315,315,315,5. Chi phí phải trả ngắn hạn,19,67.555.119.089,86.621.650.455,,19.0,67555119089.0,86621650455.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,20,3.374.235.992,3.374.235.992,,20.0,3374235992.0,3374235992.0
319,319,319,7. Phải trả ngắn hạn khác,21,164.149.937.660,272.667.879.164,,21.0,164149937660.0,272667879164.0
320,320,320,8. Vay ngắn hạn,22,231.612.635.281,239.564.000.000,,22.0,231612635281.0,239564000000.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,197.066.421,3.214.122.133,,,197066421.0,3214122133.0
330,330,330,II. Nợ dài hạn,,1.227.453.436.328,1.314.944.471.356,,,1227453436328.0,1314944471356.0
336,336,336,1. Doanh thu chưa thực hiện dài hạn,20,141.436.695.316,144.810.931.308,,20.0,141436695316.0,144810931308.0
337,337,337,2. Phải trả dài hạn khác,21,469.393.801,817.302.076,,21.0,469393801.0,817302076.0
338,338,338,3. Vay dài hạn,22,1.069.677.021.996,1.156.918.995.861,,22.0,1069677021996.0,1156918995861.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,30.3,15.870.325.215,12.397.242.111,,303.0,15870325215.0,12397242111.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.742.961.138.488,2.523.265.404.751,,,2742961138488.0,2523265404751.0
410,410,410,I. Vốn chủ sở hữu,23.1,2.742.961.138.488,2.523.265.404.751,,231.0,2742961138488.0,2523265404751.0
411,411,411,1. Vốn cổ phần,,2.145.337.930.000,1.787.436.200.000,,,2145337930000.0,1787436200000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,2.145.337.930.000,1.787.436.200.000,,,2145337930000.0,1787436200000.0
412,412,412,2. Thặng dư vốn cổ phần,,237.736.521.707,386.568.251.707,,,237736521707.0,386568251707.0
418,418,418,3. Quỹ đầu tư phát triển,,159.220.864.853,154.721.177.279,,,159220864853.0,154721177279.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,200.665.821.928,194.539.775.765,,,200665821928.0,194539775765.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,183.360.088.191,144.960.024.030,,,183360088191.0,144960024030.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,17.305.733.737,49.579.751.735,,,17305733737.0,49579751735.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,4.767.496.924.217,4.756.173.879.384,,,4767496924217.0,4756173879384.0
