row_label_raw,row_label_full,Doanh thu hoạt động,Doanh thu hoạt động_1,Doanh thu hoạt động_2,Doanh thu hoạt động_3,numeric__Doanh thu hoạt động_1,numeric__Doanh thu hoạt động_2,numeric__Doanh thu hoạt động_3
tài chính,tài chính,tài chính,31.640.784.114,(1.488.004.444),30.152.779.670,31640784114.0,-1488004444.0,30152779670.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,2.787.144.160,1.488.004.444,4.275.148.604,2787144160.0,1488004444.0,4275148604.0
