row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (Đã trình bày lại – Thuyết minh số 33),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã trình bày lại – Thuyết minh số 33)
200,200,200,B. TÀI SẢN DÀI HẠN,,1.733.561.450.976,1.682.760.442.111,,,1733561450976.0,1682760442111.0
210,210,210,I. Các khoản phải thu dài hạn,,334.935.615.101,356.554.981.525,,,334935615101.0,356554981525.0
211,211,211,1. Phải thu dài hạn của khách hàng,5,167.255.979.388,192.879.622.308,,5.0,167255979388.0,192879622308.0
215,215,215,2. Phải thu về cho vay dài hạn,7,80.361.275.945,70.291.271.703,,7.0,80361275945.0,70291271703.0
216,216,216,3. Phải thu dài hạn khác,8,87.318.359.768,93.384.087.514,,8.0,87318359768.0,93384087514.0
220,220,220,II. Tài sản cố định,,29.345.625.729,13.667.389.543,,,29345625729.0,13667389543.0
221,221,221,1. Tài sản cố định hữu hình,11,28.852.870.189,13.158.208.819,,11.0,28852870189.0,13158208819.0
222,222,222,Nguyên giá,,51.037.747.385,29.769.059.838,,,51037747385.0,29769059838.0
223,223,223,Giá trị hao mòn lũy kế,,(22.184.877.196),(16.610.851.019),,,-22184877196.0,-16610851019.0
227,227,227,2. Tài sản cố định vô hình,12,492.755.540,509.180.724,,12.0,492755540.0,509180724.0
228,228,228,Nguyên giá,,624.157.000,624.157.000,,,624157000.0,624157000.0
229,229,229,Giá trị hao mòn lũy kế,,(131.401.460),(114.976.276),,,-131401460.0,-114976276.0
230,230,230,III. Bất động sản đầu tư,13,123.991.256.565,126.880.373.221,,13.0,123991256565.0,126880373221.0
231,231,231,1. Nguyên giá,,144.455.832.878,144.455.832.878,,,144455832878.0,144455832878.0
232,232,232,2. Giá trị hao mòn lũy kế,,(20.464.576.313),(17.575.459.657),,,-20464576313.0,-17575459657.0
240,240,240,IV. Tài sản dở dang dài hạn,,222.062.503,222.062.503,,,222062503.0,222062503.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,,222.062.503,222.062.503,,,222062503.0,222062503.0
250,250,250,V. Đầu tư tài chính dài hạn,,1.238.826.664.091,1.178.964.586.252,,,1238826664091.0,1178964586252.0
251,251,251,1. Đầu tư vào công ty con,14.1,290.625.562.291,278.248.062.147,,141.0,290625562291.0,278248062147.0
252,252,252,"2. Đầu tư vào công ty liên doanh, liên kết",14.2,823.832.682.533,849.180.154.031,,142.0,823832682533.0,849180154031.0
253,253,253,3. Đầu tư góp vốn vào đơn vị khác,14.3,220.705.728.596,181.988.343.420,,143.0,220705728596.0,181988343420.0
254,254,254,4. Dự phòng đầu tư tài chính dài hạn,14,(138.337.309.329),(132.451.973.346),,14.0,-138337309329.0,-132451973346.0
255,255,255,5. Đầu tư nằm giữ đến ngày đáo hạn,14.4,42.000.000.000,2.000.000.000,,144.0,42000000000.0,2000000000.0
260,260,260,VI. Tài sản dài hạn khác,,6.240.226.987,6.471.049.067,,,6240226987.0,6471049067.0
261,261,261,1. Chi phí trả trước dài hạn,15,6.240.226.987,6.471.049.067,,15.0,6240226987.0,6471049067.0
270,270,270,TỔNG CỘNG TÀI SẢN,,4.767.496.924.217,4.756.173.879.384,,,4767496924217.0,4756173879384.0
