row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 1,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 1,Công ty con,Chi phí xây dựng,(3.550.764.071),(5.666.184.057),,,-3550764071.0,-5666184057.0
Công ty Cổ phần Vật liệu Xây dựng DIC,Phải trả người bán ngắn hạn > Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty con,Mua nguyên vật liệu,(532.305.322),(3.391.865.471),,,-532305322.0,-3391865471.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty liên kết,Chi phí xây dựng,(2.942.446.161),(3.474.837.237),,,-2942446161.0,-3474837237.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty liên kết,Chi phí xây dựng,-,(220.000.000),,,,-220000000.0
Công Ty Cổ phần Du Lịch Và Thương Mại DIC,Phải trả người bán ngắn hạn > Công Ty Cổ phần Du Lịch Và Thương Mại DIC,Công Ty Cổ phần Du Lịch Và Thương Mại DIC,Công ty con,Dịch vụ cung cấp,(31.421.209),-,,,-31421209.0,
Công ty Cổ phần DIC Số 4,Phải trả người bán ngắn hạn > Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Bên liên quan,Thu hộ,-,(180.748.383),,,,-180748383.0
Công ty Cổ phần Sông Đà DIC,Phải trả người bán ngắn hạn > Công ty Cổ phần Sông Đà DIC,Công ty Cổ phần Sông Đà DIC,Công ty con,Mua công cụ và thiết bị,(772.311.998),(1.125.209.371),,,-772311998.0,-1125209371.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Bên liên quan,Chi phí xây dựng,(471.672.613),(5.254.926.339),,,-471672613.0,-5254926339.0
Công ty Cổ phần Bất động sản DIC,Phải trả người bán ngắn hạn > Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty liên kết,Hoa hồng bán hàng,(2.291.527.425),-,,,-2291527425.0,
,,,,,(10.592.448.799),(19.313.770.858),,,-10592448799.0,-19313770858.0
