row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (Đã trình bày lại – Thuyết minh số 33),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã trình bày lại – Thuyết minh số 33)
100,100,100,TÀI SẢN NGĂN HẠN,,3.033.935.473.241,3.073.413.437.273,,,3033935473241.0,3073413437273.0
110,110,110,I. Tiền và các khoản tương đương tiền,4,51.807.990.894,465.453.657.673,,4.0,51807990894.0,465453657673.0
111,111,111,1. Tiền,,30.816.949.496,465.453.657.673,,,30816949496.0,465453657673.0
112,112,112,2. Các khoản tương đương tiền,,20.991.041.398,-,,,20991041398.0,
120,120,120,II. Đầu tư tài chính ngắn hạn,,-,19.634.745.200,,,,19634745200.0
121,121,121,1. Chứng khoán kinh doanh,,-,29.857.641.449,,,,29857641449.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh,,-,(10.222.896.249),,,,-10222896249.0
130,130,130,III. Các khoản phải thu ngắn hạn,,602.157.920.478,648.819.445.836,,,602157920478.0,648819445836.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,5,440.854.738.748,497.798.974.539,,5.0,440854738748.0,497798974539.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6,65.006.133.498,46.808.583.199,,6.0,65006133498.0,46808583199.0
135,135,135,3. Phải thu về cho vay ngắn hạn,7,5.000.000.000,6.693.293.000,,7.0,5000000000.0,6693293000.0
136,136,136,4. Phải thu ngắn hạn khác,8,109.970.319.039,97.518.595.098,,8.0,109970319039.0,97518595098.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,"5, 8",(18.673.270.807),-,,,-18673270807.0,
140,140,140,IV. Hàng tồn kho,9,2.350.551.260.655,1.923.351.461.886,,9.0,2350551260655.0,1923351461886.0
141,141,141,1. Hàng tồn kho,,2.350.551.260.655,1.923.351.461.886,,,2350551260655.0,1923351461886.0
150,150,150,V. Tài sản ngắn hạn khác,,29.418.301.214,16.154.126.678,,,29418301214.0,16154126678.0
151,151,151,1. Chi phí trả trước ngắn hạn,15,6.796.030.436,9.238.218.278,,15.0,6796030436.0,9238218278.0
152,152,152,2. Thuế GTGT được khấu trừ,,16.010.825.016,1.322.908.920,,,16010825016.0,1322908920.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,,6.611.445.762,5.592.999.480,,,6611445762.0,5592999480.0
