row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,,,,,,,
Công ty Cổ phần DIC số 4,Tên công ty > Công ty Cổ phần DIC số 4,Công ty Cổ phần DIC số 4,Xây lắp,Đang hoạt động,"14,55",7.369.504.500,-,-,-,-,,,14.55,7369504500.0,,,,
Công ty Cổ phần Đầu tư và Thương mại DIC,Tên công ty > Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Thương mại,Đang hoạt động,"10,09",32.162.124.096,-,-,-,-,,,10.09,32162124096.0,,,,
Công ty Cổ phần Xi măng FICO Tây Ninh,Tên công ty > Công ty Cổ phần Xi măng FICO Tây Ninh,Công ty Cổ phần Xi măng FICO Tây Ninh,Sản xuất,Đang hoạt động,10,68.000.000.000,-,10,68.000.000.000,-,,,10.0,68000000000.0,,10.0,68000000000.0,
Công ty Cổ phần Tài chính Sông Đà,Tên công ty > Công ty Cổ phần Tài chính Sông Đà,Công ty Cổ phần Tài chính Sông Đà,Tài chính,Đang hoạt động,"4,8",24.000.000.000,-,"4,8",24.000.000.000,-,,,4.8,24000000000.0,,4.8,24000000000.0,
Công ty Cổ phần Đầu tư Phát triển xây dựng Thanh Bình,Tên công ty > Công ty Cổ phần Đầu tư Phát triển xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển xây dựng Thanh Bình,Xây lắp,Đang hoạt động,"9,02",1.240.000.000,(783.914.553),"9,02",1.240.000.000,-,,,9.02,1240000000.0,-783914553.0,9.02,1240000000.0,
Công ty Cổ phần Bọc ống dầu khí Việt Nam,Tên công ty > Công ty Cổ phần Bọc ống dầu khí Việt Nam,Công ty Cổ phần Bọc ống dầu khí Việt Nam,Sản xuất,Đang hoạt động,-,-,-,"0,23",459.780.000,-,,,,,,0.23,459780000.0,
Công ty Cổ phần Sông Đà Hà Nội,Tên công ty > Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Xây lắp,Đang hoạt động,15,6.000.000.000,-,15,6.000.000.000,-,,,15.0,6000000000.0,,15.0,6000000000.0,
Công ty Cổ phần Cao su Phú Riềng Kratie,Tên công ty > Công ty Cổ phần Cao su Phú Riềng Kratie,Công ty Cổ phần Cao su Phú Riềng Kratie,Sản xuất,Đang hoạt động,5,20.000.000.000,-,5,20.000.000.000,-,,,5.0,20000000000.0,,5.0,20000000000.0,
Công ty Cổ phần Sông Đà 25,Tên công ty > Công ty Cổ phần Sông Đà 25,Công ty Cổ phần Sông Đà 25,Xây lắp,Đang hoạt động,-,-,-,"9,86",4.038.063.420,(3.695.423.420),,,,,,9.86,4038063420.0,-3695423420.0
Công ty Trách nhiệm hữu hạn J&D Đại An(i),Tên công ty > Công ty Trách nhiệm hữu hạn J&D Đại An(i),Công ty Trách nhiệm hữu hạn J&D Đại An(i),Bất động sản,Đang hoạt động,5,8.469.000.000,(6.124.754),5,8.469.000.000,(4.382.481),,,5.0,8469000000.0,-6124754.0,5.0,8469000000.0,-4382481.0
Công ty Trách nhiệm hữu hạn Taekwang – DIC(i),Tên công ty > Công ty Trách nhiệm hữu hạn Taekwang – DIC(i),Công ty Trách nhiệm hữu hạn Taekwang – DIC(i),Bất động sản,Đang hoạt động,10,38.025.000.000,-,10,38.025.000.000,-,,,10.0,38025000000.0,,10.0,38025000000.0,
Ủy thác đầu tư - Mã DC2,Tên công ty > Ủy thác đầu tư - Mã DC2,Ủy thác đầu tư - Mã DC2,Xây lắp,Đang hoạt động,"8,4",3.706.500.000,(2.732.220.000),"8,40",3.706.500.000,(3.049.920.000),,,8.4,3706500000.0,-2732220000.0,8.4,3706500000.0,-3049920000.0
Ủy thác đầu tư - Mã DIC,Tên công ty > Ủy thác đầu tư - Mã DIC,Ủy thác đầu tư - Mã DIC,Thương mại,Đang hoạt động,"6,44",11.733.600.000,(3.430.169.400),"4,87",8.050.000.000,(1.002.960.000),,,6.44,11733600000.0,-3430169400.0,4.87,8050000000.0,-1002960000.0
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,,220.705.728.596,(6.952.428.707),,181.988.343.420,(7.752.685.901),,,,220705728596.0,-6952428707.0,,181988343420.0,-7752685901.0
