row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Tỉnh trạng hoạt động,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Tỉnh trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty liên kết,Tên công ty liên kết,Tên công ty liên kết,Lĩnh vực kinh doanh,Tỉnh trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc (VND),Dự phòng (VND),Tỷ lệ sở hữu %,Giá gốc (VND),Dự phòng (VND),,,,,,,,
Công ty Cổ phần Vina Đại Phước(i),Tên công ty liên kết > Công ty Cổ phần Vina Đại Phước(i),Công ty Cổ phần Vina Đại Phước(i),Bất động sản,Đang hoạt động,28,450.800.000.000,(6.373.641.743),28,450.800.000.000,(1.269.528.160),,,28.0,450800000000.0,-6373641743.0,28.0,450800000000.0,-1269528160.0
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Khách sản,,,,,,,,,,,,,,,
Công ty Cổ phần Đầu tư Việt Thiên Lâm(i),Công ty Cổ phần Đầu tư Phát triển Phương Nam > Công ty Cổ phần Đầu tư Việt Thiên Lâm(i),Công ty Cổ phần Đầu tư Việt Thiên Lâm(i),Du lịch,Đang hoạt động,43,189.200.000.000,(2.527.398.663),43,189.200.000.000,-,,,43.0,189200000000.0,-2527398663.0,43.0,189200000000.0,
Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Đầu tư Phát triển Phương Nam > Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Bất động sản,Đang hoạt động,22,86.220.344.334,(2.560.703.317),22,86.220.344.334,(2.572.803.317),,,22.0,86220344334.0,-2560703317.0,22.0,86220344334.0,-2572803317.0
Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Đầu tư Phát triển Phương Nam > Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Sản xuất vật liệu xây dựng,Đang hoạt động,"40,83",34.511.962.306,(34.511.962.306),"40,83",34.511.962.306,(34.511.962.306),,,40.83,34511962306.0,-34511962306.0,40.83,34511962306.0,-34511962306.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển Phương Nam > Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Sản xuất vật liệu xây dựng,Đang hoạt động,36,17.982.564.000,-,36,17.982.564.000,-,,,36.0,17982564000.0,,36.0,17982564000.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Phương Nam > Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu,Dịch vụ,Đang hoạt động,"24,86",17.938.560.000,(1.820.021.313),32,23.999.140.000,(2.496.575.996),,,24.86,17938560000.0,-1820021313.0,32.0,23999140000.0,-2496575996.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Công ty Cổ phần Đầu tư Phát triển Phương Nam > Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Xây lắp,Đang hoạt động,"41,67",11.963.025.000,(1.730.446.577),"41,67",11.963.025.000,(1.852.198.837),,,41.67,11963025000.0,-1730446577.0,41.67,11963025000.0,-1852198837.0
Công ty Cổ phần Đầu tư Phát Triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Phương Nam > Công ty Cổ phần Đầu tư Phát Triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát Triển Xây dựng Hội An,"Bất động sản, xây lắp",Đang hoạt động,"29,97",10.401.226.893,-,"29,97",10.401.226.893,-,,,29.97,10401226893.0,,29.97,10401226893.0,
